Id2,Geography,Estimate; Total,Margin of Error; Total
6001400100,"Census Tract 4001, Alameda County, California",2872,233
6001400200,"Census Tract 4002, Alameda County, California",2076,165
6001400300,"Census Tract 4003, Alameda County, California",4964,369
6001400400,"Census Tract 4004, Alameda County, California",4223,553
6001400500,"Census Tract 4005, Alameda County, California",3759,308
6001400600,"Census Tract 4006, Alameda County, California",1676,200
6001400700,"Census Tract 4007, Alameda County, California",3901,548
6001400800,"Census Tract 4008, Alameda County, California",3005,335
6001400900,"Census Tract 4009, Alameda County, California",2667,392
6001401000,"Census Tract 4010, Alameda County, California",6152,727
6001401100,"Census Tract 4011, Alameda County, California",3551,362
6001401200,"Census Tract 4012, Alameda County, California",2515,263
6001401300,"Census Tract 4013, Alameda County, California",3269,614
6001401400,"Census Tract 4014, Alameda County, California",3536,785
6001401500,"Census Tract 4015, Alameda County, California",2493,465
6001401600,"Census Tract 4016, Alameda County, California",1614,417
6001401700,"Census Tract 4017, Alameda County, California",1875,601
6001401800,"Census Tract 4018, Alameda County, California",1265,325
6001401900,"Census Tract 4019, Alameda County, California",678,341
6001402000,"Census Tract 4020, Alameda County, California",87,69
6001402100,"Census Tract 4021, Alameda County, California",1843,343
6001402200,"Census Tract 4022, Alameda County, California",1729,431
6001402300,"Census Tract 4023, Alameda County, California",322,202
6001402400,"Census Tract 4024, Alameda County, California",2145,331
6001402500,"Census Tract 4025, Alameda County, California",2110,450
6001402600,"Census Tract 4026, Alameda County, California",1021,136
6001402700,"Census Tract 4027, Alameda County, California",1575,389
6001402800,"Census Tract 4028, Alameda County, California",2052,466
6001402900,"Census Tract 4029, Alameda County, California",1025,163
6001403000,"Census Tract 4030, Alameda County, California",2441,237
6001403100,"Census Tract 4031, Alameda County, California",1107,274
6001403200,"Census Tract 4032, Alameda County, California",50,30
6001403300,"Census Tract 4033, Alameda County, California",4196,514
6001403400,"Census Tract 4034, Alameda County, California",4685,655
6001403500,"Census Tract 4035, Alameda County, California",6143,612
6001403600,"Census Tract 4036, Alameda County, California",5051,538
6001403700,"Census Tract 4037, Alameda County, California",4881,295
6001403800,"Census Tract 4038, Alameda County, California",4049,355
6001403900,"Census Tract 4039, Alameda County, California",3905,482
6001404000,"Census Tract 4040, Alameda County, California",3261,418
6001404100,"Census Tract 4041, Alameda County, California",5646,366
6001404200,"Census Tract 4042, Alameda County, California",3400,172
6001404300,"Census Tract 4043, Alameda County, California",3369,181
6001404400,"Census Tract 4044, Alameda County, California",5562,284
6001404501,"Census Tract 4045.01, Alameda County, California",1788,152
6001404502,"Census Tract 4045.02, Alameda County, California",6185,453
6001404600,"Census Tract 4046, Alameda County, California",4787,265
6001404700,"Census Tract 4047, Alameda County, California",2096,130
6001404800,"Census Tract 4048, Alameda County, California",2872,222
6001404900,"Census Tract 4049, Alameda County, California",4497,418
6001405000,"Census Tract 4050, Alameda County, California",3144,247
6001405100,"Census Tract 4051, Alameda County, California",4818,271
6001405200,"Census Tract 4052, Alameda County, California",4631,418
6001405300,"Census Tract 4053, Alameda County, California",6170,619
6001405400,"Census Tract 4054, Alameda County, California",6874,798
6001405500,"Census Tract 4055, Alameda County, California",3418,567
6001405600,"Census Tract 4056, Alameda County, California",2947,409
6001405700,"Census Tract 4057, Alameda County, California",3086,374
6001405800,"Census Tract 4058, Alameda County, California",3668,507
6001405900,"Census Tract 4059, Alameda County, California",6961,859
6001406000,"Census Tract 4060, Alameda County, California",3236,368
6001406100,"Census Tract 4061, Alameda County, California",3415,373
6001406201,"Census Tract 4062.01, Alameda County, California",6331,754
6001406202,"Census Tract 4062.02, Alameda County, California",4588,475
6001406300,"Census Tract 4063, Alameda County, California",4613,730
6001406400,"Census Tract 4064, Alameda County, California",1916,216
6001406500,"Census Tract 4065, Alameda County, California",5926,736
6001406600,"Census Tract 4066, Alameda County, California",7600,735
6001406700,"Census Tract 4067, Alameda County, California",4885,399
6001406800,"Census Tract 4068, Alameda County, California",3562,377
6001406900,"Census Tract 4069, Alameda County, California",4455,461
6001407000,"Census Tract 4070, Alameda County, California",6252,592
6001407100,"Census Tract 4071, Alameda County, California",7912,1002
6001407200,"Census Tract 4072, Alameda County, California",5313,626
6001407300,"Census Tract 4073, Alameda County, California",2459,510
6001407400,"Census Tract 4074, Alameda County, California",3550,697
6001407500,"Census Tract 4075, Alameda County, California",3630,396
6001407600,"Census Tract 4076, Alameda County, California",6952,952
6001407700,"Census Tract 4077, Alameda County, California",4382,438
6001407800,"Census Tract 4078, Alameda County, California",2950,829
6001407900,"Census Tract 4079, Alameda County, California",2904,320
6001408000,"Census Tract 4080, Alameda County, California",2333,216
6001408100,"Census Tract 4081, Alameda County, California",5532,448
6001408200,"Census Tract 4082, Alameda County, California",4453,451
6001408300,"Census Tract 4083, Alameda County, California",4611,486
6001408400,"Census Tract 4084, Alameda County, California",4103,633
6001408500,"Census Tract 4085, Alameda County, California",4990,782
6001408600,"Census Tract 4086, Alameda County, California",5434,482
6001408700,"Census Tract 4087, Alameda County, California",7231,725
6001408800,"Census Tract 4088, Alameda County, California",5267,824
6001408900,"Census Tract 4089, Alameda County, California",3257,678
6001409000,"Census Tract 4090, Alameda County, California",4386,1099
6001409100,"Census Tract 4091, Alameda County, California",2502,518
6001409200,"Census Tract 4092, Alameda County, California",2729,423
6001409300,"Census Tract 4093, Alameda County, California",5642,569
6001409400,"Census Tract 4094, Alameda County, California",4711,615
6001409500,"Census Tract 4095, Alameda County, California",3502,583
6001409600,"Census Tract 4096, Alameda County, California",5748,683
6001409700,"Census Tract 4097, Alameda County, California",5139,763
6001409800,"Census Tract 4098, Alameda County, California",3700,478
6001409900,"Census Tract 4099, Alameda County, California",3460,363
6001410000,"Census Tract 4100, Alameda County, California",3038,385
6001410100,"Census Tract 4101, Alameda County, California",2691,369
6001410200,"Census Tract 4102, Alameda County, California",2986,488
6001410300,"Census Tract 4103, Alameda County, California",4221,558
6001410400,"Census Tract 4104, Alameda County, California",4608,777
6001420100,"Census Tract 4201, Alameda County, California",2264,149
6001420200,"Census Tract 4202, Alameda County, California",2488,210
6001420300,"Census Tract 4203, Alameda County, California",4030,248
6001420400,"Census Tract 4204, Alameda County, California",2099,308
6001420500,"Census Tract 4205, Alameda County, California",1978,194
6001420600,"Census Tract 4206, Alameda County, California",3057,207
6001421100,"Census Tract 4211, Alameda County, California",1739,184
6001421200,"Census Tract 4212, Alameda County, California",3426,231
6001421300,"Census Tract 4213, Alameda County, California",3465,207
6001421400,"Census Tract 4214, Alameda County, California",1570,140
6001421500,"Census Tract 4215, Alameda County, California",3257,215
6001421600,"Census Tract 4216, Alameda County, California",3433,259
6001421700,"Census Tract 4217, Alameda County, California",3404,265
6001421800,"Census Tract 4218, Alameda County, California",1940,270
6001421900,"Census Tract 4219, Alameda County, California",3498,255
6001422000,"Census Tract 4220, Alameda County, California",1191,345
6001422100,"Census Tract 4221, Alameda County, California",2106,277
6001422200,"Census Tract 4222, Alameda County, California",2753,330
6001422300,"Census Tract 4223, Alameda County, California",2866,316
6001422400,"Census Tract 4224, Alameda County, California",4296,385
