GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",2872,233,2224,257,119,102,6,15,318,149,37,46,23,36,145,102,0,132,145,102
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",2076,165,1650,217,47,49,11,21,144,83,0,132,30,39,194,177,119,170,75,60
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",4964,369,3792,320,557,172,36,47,375,133,0,132,82,65,122,95,18,31,104,91
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",4223,553,3097,668,401,194,0,132,330,134,5,8,208,147,182,106,0,132,182,106
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",3759,308,1756,256,1316,327,14,24,249,142,0,132,210,146,214,120,54,64,160,101
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",1676,200,642,156,793,147,4,8,54,60,0,132,25,31,158,103,0,132,158,103
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",3901,548,1424,357,1807,369,0,132,371,312,0,132,145,142,154,123,32,38,122,117
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",3005,335,1049,231,1138,237,0,132,533,228,15,23,195,163,75,86,35,43,40,70
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",2667,392,1103,223,1454,437,0,132,20,27,0,132,33,31,57,63,13,23,44,59
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",6152,727,1428,391,3499,533,0,132,881,429,0,132,112,179,232,239,0,132,232,239
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",3551,362,2287,389,498,133,34,39,416,119,37,55,129,81,150,97,32,36,118,89
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",2515,263,1795,238,349,159,0,132,292,107,0,132,44,36,35,32,0,132,35,32
