Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone
6001400100,"Census Tract 4001, Alameda County, California",2872,233,2851,2209,119,318,21,15,0,6,0
6001400200,"Census Tract 4002, Alameda County, California",2076,165,1854,1594,47,144,222,56,0,0,0
6001400300,"Census Tract 4003, Alameda County, California",4964,369,4541,3545,492,375,423,247,65,0,0
6001400400,"Census Tract 4004, Alameda County, California",4223,553,3957,2948,391,330,266,149,10,0,0
6001400500,"Census Tract 4005, Alameda County, California",3759,308,3323,1577,1303,249,436,179,13,0,0
6001400600,"Census Tract 4006, Alameda County, California",1676,200,1576,567,793,54,100,75,0,0,0
6001400700,"Census Tract 4007, Alameda County, California",3901,548,3709,1392,1771,371,192,32,36,0,0
6001400800,"Census Tract 4008, Alameda County, California",3005,335,2746,982,1138,525,259,67,0,0,8
6001400900,"Census Tract 4009, Alameda County, California",2667,392,2557,1004,1454,20,110,99,0,0,0
6001401000,"Census Tract 4010, Alameda County, California",6152,727,5714,1026,3484,881,438,402,15,0,0
6001401100,"Census Tract 4011, Alameda County, California",3551,362,2936,1856,498,392,615,431,0,0,24
6001401200,"Census Tract 4012, Alameda County, California",2515,263,2368,1692,349,292,147,103,0,0,0
6001401300,"Census Tract 4013, Alameda County, California",3269,614,2722,727,1369,542,547,382,14,0,0
6001401400,"Census Tract 4014, Alameda County, California",3536,785,2880,279,1770,699,656,207,0,0,0
6001401500,"Census Tract 4015, Alameda County, California",2493,465,2226,245,1587,251,267,197,0,0,0
6001401600,"Census Tract 4016, Alameda County, California",1614,417,1446,78,944,291,168,68,25,0,0
6001401700,"Census Tract 4017, Alameda County, California",1875,601,1078,249,597,131,797,201,0,0,0
6001401800,"Census Tract 4018, Alameda County, California",1265,325,1082,143,825,100,183,52,0,0,0
6001401900,"Census Tract 4019, Alameda County, California",678,341,311,115,19,74,367,33,0,0,0
6001402000,"Census Tract 4020, Alameda County, California",87,69,21,0,21,0,66,0,0,0,0
6001402100,"Census Tract 4021, Alameda County, California",1843,343,1641,186,1048,370,202,121,62,0,0
6001402200,"Census Tract 4022, Alameda County, California",1729,431,1188,291,681,108,541,386,0,0,0
6001402300,"Census Tract 4023, Alameda County, California",322,202,163,134,20,9,159,159,0,0,0
6001402400,"Census Tract 4024, Alameda County, California",2145,331,2005,497,1242,221,140,122,6,0,0
6001402500,"Census Tract 4025, Alameda County, California",2110,450,2023,174,1624,197,87,87,0,0,0
6001402600,"Census Tract 4026, Alameda County, California",1021,136,966,161,264,541,55,42,0,0,0
6001402700,"Census Tract 4027, Alameda County, California",1575,389,1293,30,1186,66,282,261,0,0,0
6001402800,"Census Tract 4028, Alameda County, California",2052,466,1905,415,996,366,147,73,0,0,11
6001402900,"Census Tract 4029, Alameda County, California",1025,163,978,156,285,521,47,24,0,0,0
6001403000,"Census Tract 4030, Alameda County, California",2441,237,2371,69,37,2244,70,70,0,0,0
6001403100,"Census Tract 4031, Alameda County, California",1107,274,1060,181,287,511,47,18,0,0,0
6001403200,"Census Tract 4032, Alameda County, California",50,30,50,50,0,0,0,0,0,0,0
6001403300,"Census Tract 4033, Alameda County, California",4196,514,4022,1098,229,2619,174,30,0,0,0
6001403400,"Census Tract 4034, Alameda County, California",4685,655,4324,1625,1060,1482,361,273,0,0,0
6001403500,"Census Tract 4035, Alameda County, California",6143,612,5795,2424,1508,1208,348,201,13,0,84
6001403600,"Census Tract 4036, Alameda County, California",5051,538,4798,1424,2257,612,253,194,0,0,0
6001403700,"Census Tract 4037, Alameda County, California",4881,295,4664,2670,1086,531,217,147,19,0,0
6001403800,"Census Tract 4038, Alameda County, California",4049,355,3357,2362,315,486,692,429,141,0,0
6001403900,"Census Tract 4039, Alameda County, California",3905,482,3682,2371,851,256,223,125,32,0,0
6001404000,"Census Tract 4040, Alameda County, California",3261,418,3089,1976,583,393,172,92,0,0,0
6001404100,"Census Tract 4041, Alameda County, California",5646,366,5199,3894,269,819,447,350,38,0,16
6001404200,"Census Tract 4042, Alameda County, California",3400,172,3139,2467,146,284,261,207,0,9,0
6001404300,"Census Tract 4043, Alameda County, California",3369,181,3221,2605,128,355,148,137,0,0,0
6001404400,"Census Tract 4044, Alameda County, California",5562,284,5415,3923,180,992,147,147,0,0,0
6001404501,"Census Tract 4045.01, Alameda County, California",1788,152,1788,1384,109,200,0,0,0,0,0
6001404502,"Census Tract 4045.02, Alameda County, California",6185,453,5930,4536,301,595,255,63,0,0,0
6001404600,"Census Tract 4046, Alameda County, California",4787,265,4694,3549,533,428,93,30,0,13,0
6001404700,"Census Tract 4047, Alameda County, California",2096,130,1957,1537,191,175,139,129,0,0,0
6001404800,"Census Tract 4048, Alameda County, California",2872,222,2486,1044,865,549,386,119,15,0,0
6001404900,"Census Tract 4049, Alameda County, California",4497,418,4066,2567,276,950,431,159,0,0,50
6001405000,"Census Tract 4050, Alameda County, California",3144,247,3031,2179,453,314,113,103,0,10,0
6001405100,"Census Tract 4051, Alameda County, California",4818,271,4609,3371,641,329,209,183,0,0,0
6001405200,"Census Tract 4052, Alameda County, California",4631,418,4271,1740,680,1443,360,136,16,0,21
6001405300,"Census Tract 4053, Alameda County, California",6170,619,4654,2002,1360,1105,1516,622,0,0,0
6001405400,"Census Tract 4054, Alameda County, California",6874,798,4783,568,1624,2182,2091,1318,26,20,16
6001405500,"Census Tract 4055, Alameda County, California",3418,567,2999,800,561,1531,419,161,0,0,0
6001405600,"Census Tract 4056, Alameda County, California",2947,409,2409,514,733,916,538,293,0,0,0
6001405700,"Census Tract 4057, Alameda County, California",3086,374,2361,480,726,1028,725,151,0,0,0
6001405800,"Census Tract 4058, Alameda County, California",3668,507,3230,506,683,2019,438,190,23,12,0
6001405900,"Census Tract 4059, Alameda County, California",6961,859,4506,425,791,2606,2455,1211,63,0,18
6001406000,"Census Tract 4060, Alameda County, California",3236,368,2309,518,330,1232,927,388,0,23,50
6001406100,"Census Tract 4061, Alameda County, California",3415,373,1175,425,309,405,2240,837,0,10,0
6001406201,"Census Tract 4062.01, Alameda County, California",6331,754,2683,56,879,1602,3648,2177,57,0,0
6001406202,"Census Tract 4062.02, Alameda County, California",4588,475,1401,351,185,559,3187,833,0,0,0
6001406300,"Census Tract 4063, Alameda County, California",4613,730,3115,157,1023,1925,1498,695,8,0,10
6001406400,"Census Tract 4064, Alameda County, California",1916,216,1639,581,746,290,277,42,19,2,0
6001406500,"Census Tract 4065, Alameda County, California",5926,736,3284,761,1276,879,2642,1453,0,0,25
6001406600,"Census Tract 4066, Alameda County, California",7600,735,5581,937,2280,1981,2019,851,100,17,0
6001406700,"Census Tract 4067, Alameda County, California",4885,399,4397,2390,574,1212,488,298,0,0,0
6001406800,"Census Tract 4068, Alameda County, California",3562,377,3280,1593,561,1061,282,121,14,0,0
6001406900,"Census Tract 4069, Alameda County, California",4455,461,3722,1534,563,1438,733,550,37,0,0
6001407000,"Census Tract 4070, Alameda County, California",6252,592,4627,921,1792,1808,1625,1200,0,0,0
6001407100,"Census Tract 4071, Alameda County, California",7912,1002,3856,596,1681,639,4056,1411,38,8,14
6001407200,"Census Tract 4072, Alameda County, California",5313,626,1730,431,405,794,3583,1335,0,226,0
6001407300,"Census Tract 4073, Alameda County, California",2459,510,1116,104,721,158,1343,826,10,79,0
