Id2,Geography,Estimate; Total Number of Housing Units,Margin of Error; Total
6001400100,"Census Tract 4001, Alameda County, California",1439,28
6001400200,"Census Tract 4002, Alameda County, California",932,25
6001400300,"Census Tract 4003, Alameda County, California",2801,49
6001400400,"Census Tract 4004, Alameda County, California",2020,73
6001400500,"Census Tract 4005, Alameda County, California",1735,50
6001400600,"Census Tract 4006, Alameda County, California",784,42
6001400700,"Census Tract 4007, Alameda County, California",2016,140
6001400800,"Census Tract 4008, Alameda County, California",1678,54
6001400900,"Census Tract 4009, Alameda County, California",1198,49
6001401000,"Census Tract 4010, Alameda County, California",2682,85
6001401100,"Census Tract 4011, Alameda County, California",2305,46
6001401200,"Census Tract 4012, Alameda County, California",1414,30
6001401300,"Census Tract 4013, Alameda County, California",1785,47
6001401400,"Census Tract 4014, Alameda County, California",1801,60
6001401500,"Census Tract 4015, Alameda County, California",1236,65
6001401600,"Census Tract 4016, Alameda County, California",900,69
6001401700,"Census Tract 4017, Alameda County, California",800,52
6001401800,"Census Tract 4018, Alameda County, California",816,38
6001401900,"Census Tract 4019, Alameda County, California",256,112
6001402000,"Census Tract 4020, Alameda County, California",31,29
6001402100,"Census Tract 4021, Alameda County, California",903,75
6001402200,"Census Tract 4022, Alameda County, California",788,52
6001402300,"Census Tract 4023, Alameda County, California",146,78
6001402400,"Census Tract 4024, Alameda County, California",1204,52
6001402500,"Census Tract 4025, Alameda County, California",824,61
6001402600,"Census Tract 4026, Alameda County, California",622,32
6001402700,"Census Tract 4027, Alameda County, California",789,25
6001402800,"Census Tract 4028, Alameda County, California",1385,72
6001402900,"Census Tract 4029, Alameda County, California",902,53
6001403000,"Census Tract 4030, Alameda County, California",1555,87
6001403100,"Census Tract 4031, Alameda County, California",544,81
6001403200,"Census Tract 4032, Alameda County, California",40,22
6001403300,"Census Tract 4033, Alameda County, California",2282,93
6001403400,"Census Tract 4034, Alameda County, California",3044,92
6001403500,"Census Tract 4035, Alameda County, California",3813,180
6001403600,"Census Tract 4036, Alameda County, California",2921,80
6001403700,"Census Tract 4037, Alameda County, California",3536,108
6001403800,"Census Tract 4038, Alameda County, California",2138,44
6001403900,"Census Tract 4039, Alameda County, California",2511,51
6001404000,"Census Tract 4040, Alameda County, California",1920,91
6001404100,"Census Tract 4041, Alameda County, California",3799,100
6001404200,"Census Tract 4042, Alameda County, California",1498,30
6001404300,"Census Tract 4043, Alameda County, California",1497,36
6001404400,"Census Tract 4044, Alameda County, California",2502,39
6001404501,"Census Tract 4045.01, Alameda County, California",748,18
6001404502,"Census Tract 4045.02, Alameda County, California",2704,53
6001404600,"Census Tract 4046, Alameda County, California",1978,34
6001404700,"Census Tract 4047, Alameda County, California",879,24
6001404800,"Census Tract 4048, Alameda County, California",1409,34
6001404900,"Census Tract 4049, Alameda County, California",2046,89
6001405000,"Census Tract 4050, Alameda County, California",1730,36
6001405100,"Census Tract 4051, Alameda County, California",1754,35
6001405200,"Census Tract 4052, Alameda County, California",2750,80
6001405300,"Census Tract 4053, Alameda County, California",3466,72
6001405400,"Census Tract 4054, Alameda County, California",3075,92
6001405500,"Census Tract 4055, Alameda County, California",1746,60
6001405600,"Census Tract 4056, Alameda County, California",1520,61
