Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
6001400100,"Census Tract 4001, Alameda County, California",1308,108,1171,107,137,74
6001400200,"Census Tract 4002, Alameda County, California",902,42,593,71,309,73
6001400300,"Census Tract 4003, Alameda County, California",2626,132,1064,150,1562,182
6001400400,"Census Tract 4004, Alameda County, California",1964,87,852,133,1112,152
6001400500,"Census Tract 4005, Alameda County, California",1686,82,738,102,948,119
6001400600,"Census Tract 4006, Alameda County, California",701,71,330,76,371,101
6001400700,"Census Tract 4007, Alameda County, California",1672,153,661,116,1011,166
6001400800,"Census Tract 4008, Alameda County, California",1433,104,427,90,1006,119
6001400900,"Census Tract 4009, Alameda County, California",1095,87,480,89,615,110
6001401000,"Census Tract 4010, Alameda County, California",2168,224,918,185,1250,256
6001401100,"Census Tract 4011, Alameda County, California",2076,140,397,104,1679,159
6001401200,"Census Tract 4012, Alameda County, California",1352,84,632,134,720,142
6001401300,"Census Tract 4013, Alameda County, California",1434,127,199,70,1235,137
6001401400,"Census Tract 4014, Alameda County, California",1469,137,278,105,1191,160
6001401500,"Census Tract 4015, Alameda County, California",961,123,386,111,575,130
6001401600,"Census Tract 4016, Alameda County, California",717,107,104,64,613,110
6001401700,"Census Tract 4017, Alameda County, California",637,109,374,112,263,88
6001401800,"Census Tract 4018, Alameda County, California",482,111,99,57,383,113
6001401900,"Census Tract 4019, Alameda County, California",256,112,82,48,174,110
6001402000,"Census Tract 4020, Alameda County, California",31,29,10,16,21,33
6001402100,"Census Tract 4021, Alameda County, California",802,91,35,37,767,88
6001402200,"Census Tract 4022, Alameda County, California",655,85,155,71,500,106
6001402300,"Census Tract 4023, Alameda County, California",146,78,20,23,126,77
6001402400,"Census Tract 4024, Alameda County, California",1032,111,282,103,750,113
6001402500,"Census Tract 4025, Alameda County, California",787,72,136,77,651,86
6001402600,"Census Tract 4026, Alameda County, California",540,72,159,68,381,78
6001402700,"Census Tract 4027, Alameda County, California",651,82,213,103,438,125
6001402800,"Census Tract 4028, Alameda County, California",1163,100,77,45,1086,107
6001402900,"Census Tract 4029, Alameda County, California",763,76,15,23,748,76
6001403000,"Census Tract 4030, Alameda County, California",1211,151,294,94,917,153
6001403100,"Census Tract 4031, Alameda County, California",500,68,204,59,296,80
6001403200,"Census Tract 4032, Alameda County, California",40,22,40,22,0,132
6001403300,"Census Tract 4033, Alameda County, California",1936,181,432,112,1504,175
6001403400,"Census Tract 4034, Alameda County, California",2960,136,433,97,2527,171
6001403500,"Census Tract 4035, Alameda County, California",3554,212,663,171,2891,234
6001403600,"Census Tract 4036, Alameda County, California",2709,143,506,167,2203,183
6001403700,"Census Tract 4037, Alameda County, California",3058,192,524,135,2534,232
6001403800,"Census Tract 4038, Alameda County, California",1997,105,670,112,1327,124
6001403900,"Census Tract 4039, Alameda County, California",2415,90,1000,150,1415,163
6001404000,"Census Tract 4040, Alameda County, California",1777,125,410,84,1367,145
6001404100,"Census Tract 4041, Alameda County, California",3600,173,888,209,2712,254
6001404200,"Census Tract 4042, Alameda County, California",1456,60,1218,79,238,72
6001404300,"Census Tract 4043, Alameda County, California",1406,61,1249,82,157,68
6001404400,"Census Tract 4044, Alameda County, California",2372,117,2005,134,367,138
6001404501,"Census Tract 4045.01, Alameda County, California",720,45,641,60,79,55
6001404502,"Census Tract 4045.02, Alameda County, California",2631,86,2249,155,382,159
6001404600,"Census Tract 4046, Alameda County, California",1880,88,1814,93,66,50
6001404700,"Census Tract 4047, Alameda County, California",849,52,737,71,112,59
6001404800,"Census Tract 4048, Alameda County, California",1384,43,747,127,637,134
6001404900,"Census Tract 4049, Alameda County, California",1989,96,1247,129,742,153
6001405000,"Census Tract 4050, Alameda County, California",1519,104,886,117,633,138
6001405100,"Census Tract 4051, Alameda County, California",1670,73,1586,76,84,67
6001405200,"Census Tract 4052, Alameda County, California",2451,171,567,138,1884,202
6001405300,"Census Tract 4053, Alameda County, California",3406,100,299,99,3107,147
6001405400,"Census Tract 4054, Alameda County, California",2682,176,340,127,2342,178
6001405500,"Census Tract 4055, Alameda County, California",1442,154,335,90,1107,173
6001405600,"Census Tract 4056, Alameda County, California",1379,100,311,90,1068,113
6001405700,"Census Tract 4057, Alameda County, California",1254,118,478,94,776,125
6001405800,"Census Tract 4058, Alameda County, California",1246,109,520,114,726,144
6001405900,"Census Tract 4059, Alameda County, California",2056,140,523,174,1533,200
6001406000,"Census Tract 4060, Alameda County, California",1401,115,189,78,1212,109
6001406100,"Census Tract 4061, Alameda County, California",1310,115,376,112,934,151
6001406201,"Census Tract 4062.01, Alameda County, California",1480,112,298,82,1182,115
6001406202,"Census Tract 4062.02, Alameda County, California",1240,101,162,61,1078,110
6001406300,"Census Tract 4063, Alameda County, California",1256,102,657,162,599,142
6001406400,"Census Tract 4064, Alameda County, California",725,66,385,68,340,91
6001406500,"Census Tract 4065, Alameda County, California",1926,126,800,138,1126,147
6001406600,"Census Tract 4066, Alameda County, California",2815,153,1178,191,1637,231
6001406700,"Census Tract 4067, Alameda County, California",2180,151,1580,177,600,167
6001406800,"Census Tract 4068, Alameda County, California",1439,92,1086,100,353,106
6001406900,"Census Tract 4069, Alameda County, California",1531,95,1010,149,521,142
6001407000,"Census Tract 4070, Alameda County, California",2129,151,714,127,1415,182
6001407100,"Census Tract 4071, Alameda County, California",2159,186,1039,140,1120,204
6001407200,"Census Tract 4072, Alameda County, California",1604,151,528,112,1076,178
6001407300,"Census Tract 4073, Alameda County, California",737,67,266,61,471,86
6001407400,"Census Tract 4074, Alameda County, California",1050,175,362,68,688,179
6001407500,"Census Tract 4075, Alameda County, California",1263,104,386,96,877,132
6001407600,"Census Tract 4076, Alameda County, California",2209,151,1063,212,1146,205
6001407700,"Census Tract 4077, Alameda County, California",1813,109,1353,144,460,138
6001407800,"Census Tract 4078, Alameda County, California",798,78,659,89,139,77
6001407900,"Census Tract 4079, Alameda County, California",1087,106,874,106,213,80
6001408000,"Census Tract 4080, Alameda County, California",984,67,864,85,120,54
6001408100,"Census Tract 4081, Alameda County, California",2418,146,1881,149,537,134
6001408200,"Census Tract 4082, Alameda County, California",1693,130,899,130,794,152
6001408300,"Census Tract 4083, Alameda County, California",1793,99,1139,114,654,143
6001408400,"Census Tract 4084, Alameda County, California",1263,109,722,138,541,141
6001408500,"Census Tract 4085, Alameda County, California",1533,130,826,144,707,157
6001408600,"Census Tract 4086, Alameda County, California",1721,106,690,150,1031,149
6001408700,"Census Tract 4087, Alameda County, California",2322,155,1104,176,1218,216
6001408800,"Census Tract 4088, Alameda County, California",1527,129,671,191,856,155
6001408900,"Census Tract 4089, Alameda County, California",949,94,343,87,606,116
6001409000,"Census Tract 4090, Alameda County, California",1026,91,583,113,443,129
6001409100,"Census Tract 4091, Alameda County, California",694,43,480,86,214,92
6001409200,"Census Tract 4092, Alameda County, California",782,77,473,92,309,98
6001409300,"Census Tract 4093, Alameda County, California",1704,98,708,156,996,144
6001409400,"Census Tract 4094, Alameda County, California",1134,98,489,97,645,143
6001409500,"Census Tract 4095, Alameda County, California",822,103,327,88,495,119
6001409600,"Census Tract 4096, Alameda County, California",1477,128,761,107,716,129
6001409700,"Census Tract 4097, Alameda County, California",1574,112,468,95,1106,136
6001409800,"Census Tract 4098, Alameda County, California",1287,76,799,88,488,96
6001409900,"Census Tract 4099, Alameda County, California",1375,91,1276,110,99,68
6001410000,"Census Tract 4100, Alameda County, California",1202,66,1078,86,124,64
6001410100,"Census Tract 4101, Alameda County, California",963,85,542,102,421,114
6001410200,"Census Tract 4102, Alameda County, California",1049,107,457,92,592,116
6001410300,"Census Tract 4103, Alameda County, California",1042,80,461,120,581,119
6001410400,"Census Tract 4104, Alameda County, California",1246,77,800,131,446,135
6001420100,"Census Tract 4201, Alameda County, California",834,44,647,69,187,59
6001420200,"Census Tract 4202, Alameda County, California",1071,97,345,68,726,112
6001420300,"Census Tract 4203, Alameda County, California",1860,89,1102,141,758,139
6001420400,"Census Tract 4204, Alameda County, California",701,93,8,12,693,92
6001420500,"Census Tract 4205, Alameda County, California",788,67,396,82,392,85
6001420600,"Census Tract 4206, Alameda County, California",1189,64,930,83,259,84
6001421100,"Census Tract 4211, Alameda County, California",736,66,699,70,37,25
6001421200,"Census Tract 4212, Alameda County, California",1287,74,1224,84,63,50
6001421300,"Census Tract 4213, Alameda County, California",1503,80,1317,89,186,63
6001421400,"Census Tract 4214, Alameda County, California",623,42,495,62,128,62
6001421500,"Census Tract 4215, Alameda County, California",1435,88,1183,111,252,100
6001421600,"Census Tract 4216, Alameda County, California",1502,78,1135,102,367,90
6001421700,"Census Tract 4217, Alameda County, California",1510,80,570,97,940,106
6001421800,"Census Tract 4218, Alameda County, California",800,70,560,85,240,69
6001421900,"Census Tract 4219, Alameda County, California",1558,82,919,89,639,89
6001422000,"Census Tract 4220, Alameda County, California",435,74,209,66,226,79
6001422100,"Census Tract 4221, Alameda County, California",844,117,408,67,436,106
