GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,"Estimate; 1, detached"
HD02_VD02,"Margin of Error; 1, detached"
HD01_VD03,"Estimate; 1, attached"
HD02_VD03,"Margin of Error; 1, attached"
HD01_VD04,Estimate; 2
HD02_VD04,Margin of Error; 2
HD01_VD05,Estimate; 3 or 4
HD02_VD05,Margin of Error; 3 or 4
HD01_VD06,Estimate; 5 to 9
HD02_VD06,Margin of Error; 5 to 9
HD01_VD07,Estimate; 10 to 19
HD02_VD07,Margin of Error; 10 to 19
HD01_VD08,Estimate; 20 to 49
HD02_VD08,Margin of Error; 20 to 49
HD01_VD09,Estimate; 50 or more
HD02_VD09,Margin of Error; 50 or more
HD01_VD10,Estimate; Mobile home
HD02_VD10,Margin of Error; Mobile home
HD01_VD11,"Estimate; Boat, RV, van, etc."
HD02_VD11,"Margin of Error; Boat, RV, van, etc."
