GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; 1, detached","Margin of Error; 1, detached","Estimate; 1, attached","Margin of Error; 1, attached",Estimate; 2,Margin of Error; 2,Estimate; 3 or 4,Margin of Error; 3 or 4,Estimate; 5 to 9,Margin of Error; 5 to 9,Estimate; 10 to 19,Margin of Error; 10 to 19,Estimate; 20 to 49,Margin of Error; 20 to 49,Estimate; 50 or more,Margin of Error; 50 or more,Estimate; Mobile home,Margin of Error; Mobile home,"Estimate; Boat, RV, van, etc.","Margin of Error; Boat, RV, van, etc."
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",1439,28,1006,94,307,82,97,82,15,24,14,23,0,132,0,132,0,132,0,132,0,132
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",932,25,577,73,43,32,82,50,42,36,112,72,49,35,27,41,0,132,0,132,0,132
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",2801,49,1234,158,107,76,307,125,547,201,118,78,147,80,270,127,71,78,0,132,0,132
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",2020,73,1007,136,115,56,184,85,268,104,121,59,273,103,52,45,0,132,0,132,0,132
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",1735,50,673,98,98,59,270,85,193,92,195,86,218,68,76,38,12,19,0,132,0,132
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",784,42,422,80,74,55,125,79,109,66,17,16,27,24,10,16,0,132,0,132,0,132
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",2016,140,998,160,156,93,251,106,306,120,226,136,7,11,72,49,0,132,0,132,0,132
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",1678,54,612,109,98,61,207,93,269,124,226,84,75,46,41,37,150,74,0,132,0,132
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",1198,49,539,113,51,44,202,84,307,105,0,132,51,42,48,47,0,132,0,132,0,132
