Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; 1, detached","Margin of Error; 1, detached","Estimate; 1, attached","Margin of Error; 1, attached"
6001400100,"Census Tract 4001, Alameda County, California",1439,28,1006,94,307,82
6001400200,"Census Tract 4002, Alameda County, California",932,25,577,73,43,32
6001400300,"Census Tract 4003, Alameda County, California",2801,49,1234,158,107,76
6001400400,"Census Tract 4004, Alameda County, California",2020,73,1007,136,115,56
6001400500,"Census Tract 4005, Alameda County, California",1735,50,673,98,98,59
6001400600,"Census Tract 4006, Alameda County, California",784,42,422,80,74,55
6001400700,"Census Tract 4007, Alameda County, California",2016,140,998,160,156,93
6001400800,"Census Tract 4008, Alameda County, California",1678,54,612,109,98,61
6001400900,"Census Tract 4009, Alameda County, California",1198,49,539,113,51,44
6001401000,"Census Tract 4010, Alameda County, California",2682,85,1201,176,50,46
6001401100,"Census Tract 4011, Alameda County, California",2305,46,398,92,61,61
6001401200,"Census Tract 4012, Alameda County, California",1414,30,715,139,47,45
6001401300,"Census Tract 4013, Alameda County, California",1785,47,10,16,14,21
6001401400,"Census Tract 4014, Alameda County, California",1801,60,385,92,142,77
6001401500,"Census Tract 4015, Alameda County, California",1236,65,530,136,127,73
6001401600,"Census Tract 4016, Alameda County, California",900,69,291,105,33,53
6001401700,"Census Tract 4017, Alameda County, California",800,52,286,69,115,60
6001401800,"Census Tract 4018, Alameda County, California",816,38,224,79,80,60
6001401900,"Census Tract 4019, Alameda County, California",256,112,104,67,0,132
6001402000,"Census Tract 4020, Alameda County, California",31,29,10,16,0,132
6001402100,"Census Tract 4021, Alameda County, California",903,75,127,81,231,94
6001402200,"Census Tract 4022, Alameda County, California",788,52,211,69,94,64
6001402300,"Census Tract 4023, Alameda County, California",146,78,46,34,0,132
6001402400,"Census Tract 4024, Alameda County, California",1204,52,283,97,63,52
6001402500,"Census Tract 4025, Alameda County, California",824,61,76,62,63,52
6001402600,"Census Tract 4026, Alameda County, California",622,32,50,49,5,11
6001402700,"Census Tract 4027, Alameda County, California",789,25,193,89,44,52
6001402800,"Census Tract 4028, Alameda County, California",1385,72,0,132,0,132
6001402900,"Census Tract 4029, Alameda County, California",902,53,0,132,0,132
