GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California","1,000,000+",***
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",909500,39846
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",718100,70431
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",790500,51801
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",572000,45234
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",586700,55299
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",511600,65391
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",499100,86200
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",524600,59493
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",415600,43211
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",553600,94470
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",589200,23960
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",367800,22082
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",409300,50527
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",365600,74323
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",511900,158647
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",436400,133544
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",423700,187486
1400000US06001401900,06001401900,"Census Tract 4019, Alameda County, California",355000,141275
1400000US06001402000,06001402000,"Census Tract 4020, Alameda County, California",-,**
1400000US06001402100,06001402100,"Census Tract 4021, Alameda County, California",506900,303999
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",510800,98963
1400000US06001402300,06001402300,"Census Tract 4023, Alameda County, California",490900,149311
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",462000,62761
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",327200,60884
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",437900,18336
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",455500,88584
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",358700,112623
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",-,**
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",374100,58901
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",447500,13817
1400000US06001403200,06001403200,"Census Tract 4032, Alameda County, California",495200,244141
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",437500,125556
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",474800,27623
1400000US06001403500,06001403500,"Census Tract 4035, Alameda County, California",419000,58126
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",390800,69648
1400000US06001403700,06001403700,"Census Tract 4037, Alameda County, California",427600,51145
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",729300,108232
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",464100,69123
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",377200,24757
1400000US06001404100,06001404100,"Census Tract 4041, Alameda County, California",692000,93174
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",903000,34381
