Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
6001400100,"Census Tract 4001, Alameda County, California","1,000,000+",***
6001400200,"Census Tract 4002, Alameda County, California",909500,39846
6001400300,"Census Tract 4003, Alameda County, California",718100,70431
6001400400,"Census Tract 4004, Alameda County, California",790500,51801
6001400500,"Census Tract 4005, Alameda County, California",572000,45234
6001400600,"Census Tract 4006, Alameda County, California",586700,55299
6001400700,"Census Tract 4007, Alameda County, California",511600,65391
6001400800,"Census Tract 4008, Alameda County, California",499100,86200
6001400900,"Census Tract 4009, Alameda County, California",524600,59493
6001401000,"Census Tract 4010, Alameda County, California",415600,43211
6001401100,"Census Tract 4011, Alameda County, California",553600,94470
6001401200,"Census Tract 4012, Alameda County, California",589200,23960
6001401300,"Census Tract 4013, Alameda County, California",367800,22082
6001401400,"Census Tract 4014, Alameda County, California",409300,50527
6001401500,"Census Tract 4015, Alameda County, California",365600,74323
6001401600,"Census Tract 4016, Alameda County, California",511900,158647
6001401700,"Census Tract 4017, Alameda County, California",436400,133544
6001401800,"Census Tract 4018, Alameda County, California",423700,187486
6001401900,"Census Tract 4019, Alameda County, California",355000,141275
6001402000,"Census Tract 4020, Alameda County, California",-,**
6001402100,"Census Tract 4021, Alameda County, California",506900,303999
6001402200,"Census Tract 4022, Alameda County, California",510800,98963
6001402300,"Census Tract 4023, Alameda County, California",490900,149311
6001402400,"Census Tract 4024, Alameda County, California",462000,62761
6001402500,"Census Tract 4025, Alameda County, California",327200,60884
6001402600,"Census Tract 4026, Alameda County, California",437900,18336
6001402700,"Census Tract 4027, Alameda County, California",455500,88584
6001402800,"Census Tract 4028, Alameda County, California",358700,112623
6001402900,"Census Tract 4029, Alameda County, California",-,**
6001403000,"Census Tract 4030, Alameda County, California",374100,58901
6001403100,"Census Tract 4031, Alameda County, California",447500,13817
6001403200,"Census Tract 4032, Alameda County, California",495200,244141
6001403300,"Census Tract 4033, Alameda County, California",437500,125556
6001403400,"Census Tract 4034, Alameda County, California",474800,27623
6001403500,"Census Tract 4035, Alameda County, California",419000,58126
6001403600,"Census Tract 4036, Alameda County, California",390800,69648
6001403700,"Census Tract 4037, Alameda County, California",427600,51145
6001403800,"Census Tract 4038, Alameda County, California",729300,108232
6001403900,"Census Tract 4039, Alameda County, California",464100,69123
6001404000,"Census Tract 4040, Alameda County, California",377200,24757
6001404100,"Census Tract 4041, Alameda County, California",692000,93174
6001404200,"Census Tract 4042, Alameda County, California",903000,34381
6001404300,"Census Tract 4043, Alameda County, California","1,000,000+",***
6001404400,"Census Tract 4044, Alameda County, California",876400,64025
6001404501,"Census Tract 4045.01, Alameda County, California",961600,66380
6001404502,"Census Tract 4045.02, Alameda County, California",861100,33576
6001404600,"Census Tract 4046, Alameda County, California",844200,32700
6001404700,"Census Tract 4047, Alameda County, California",791900,42616
6001404800,"Census Tract 4048, Alameda County, California",675600,53924
6001404900,"Census Tract 4049, Alameda County, California",603100,27898
6001405000,"Census Tract 4050, Alameda County, California",764100,71710
6001405100,"Census Tract 4051, Alameda County, California",925400,36602
6001405200,"Census Tract 4052, Alameda County, California",528700,92294
6001405300,"Census Tract 4053, Alameda County, California",396800,67717
6001405400,"Census Tract 4054, Alameda County, California",352900,53411
6001405500,"Census Tract 4055, Alameda County, California",435000,54625
6001405600,"Census Tract 4056, Alameda County, California",464400,52646
6001405700,"Census Tract 4057, Alameda County, California",439500,43666
6001405800,"Census Tract 4058, Alameda County, California",394100,48838
6001405900,"Census Tract 4059, Alameda County, California",439200,117973
6001406000,"Census Tract 4060, Alameda County, California",313000,287477
6001406100,"Census Tract 4061, Alameda County, California",432900,73644
6001406201,"Census Tract 4062.01, Alameda County, California",427500,64907
6001406202,"Census Tract 4062.02, Alameda County, California",427100,52737
6001406300,"Census Tract 4063, Alameda County, California",525700,69872
6001406400,"Census Tract 4064, Alameda County, California",481000,78769
6001406500,"Census Tract 4065, Alameda County, California",428100,33381
6001406600,"Census Tract 4066, Alameda County, California",430800,41839
6001406700,"Census Tract 4067, Alameda County, California",570200,28972
6001406800,"Census Tract 4068, Alameda County, California",570700,34999
6001406900,"Census Tract 4069, Alameda County, California",571800,33004
6001407000,"Census Tract 4070, Alameda County, California",395400,41396
6001407100,"Census Tract 4071, Alameda County, California",445800,53825
6001407200,"Census Tract 4072, Alameda County, California",476600,103376
6001407300,"Census Tract 4073, Alameda County, California",232000,17680
6001407400,"Census Tract 4074, Alameda County, California",417900,36075
6001407500,"Census Tract 4075, Alameda County, California",328400,56351
