Id2,Geography,Total; Estimate; Population 25 years and over,Total; Margin of Error; Population 25 years and over,Percent of population 25 years and over  with Bachelor's degree,MOE Percent of population 25 years and over  with Bachelor's degree
6001400100,"Census Tract 4001, Alameda County, California",2373,206,34.5,5.2
6001400200,"Census Tract 4002, Alameda County, California",1554,137,37.6,7.1
6001400300,"Census Tract 4003, Alameda County, California",4016,288,32.1,5
6001400400,"Census Tract 4004, Alameda County, California",3264,442,44,8
6001400500,"Census Tract 4005, Alameda County, California",2961,223,28.1,5.2
6001400600,"Census Tract 4006, Alameda County, California",1211,173,51.9,10
6001400700,"Census Tract 4007, Alameda County, California",2627,385,19.4,4.3
6001400800,"Census Tract 4008, Alameda County, California",2189,260,33.5,8.2
6001400900,"Census Tract 4009, Alameda County, California",1784,267,28.2,9.6
6001401000,"Census Tract 4010, Alameda County, California",3851,515,19,6
6001401100,"Census Tract 4011, Alameda County, California",2823,264,38.8,6.9
6001401200,"Census Tract 4012, Alameda County, California",2048,198,36.7,9.2
6001401300,"Census Tract 4013, Alameda County, California",2399,540,24.7,5.3
6001401400,"Census Tract 4014, Alameda County, California",2333,418,9.3,4.4
6001401500,"Census Tract 4015, Alameda County, California",1734,326,14.3,6.3
6001401600,"Census Tract 4016, Alameda County, California",995,213,12.5,5.6
6001401700,"Census Tract 4017, Alameda County, California",1237,345,17.1,6.2
6001401800,"Census Tract 4018, Alameda County, California",759,174,11.2,8.8
6001401900,"Census Tract 4019, Alameda County, California",505,246,25.1,15.6
6001402000,"Census Tract 4020, Alameda County, California",42,65,0,50.8
6001402100,"Census Tract 4021, Alameda County, California",1034,201,6.3,5.7
6001402200,"Census Tract 4022, Alameda County, California",1119,265,22.9,11
6001402300,"Census Tract 4023, Alameda County, California",277,163,17.3,25.9
6001402400,"Census Tract 4024, Alameda County, California",1588,189,21.8,8.2
6001402500,"Census Tract 4025, Alameda County, California",1129,253,9.6,6.1
6001402600,"Census Tract 4026, Alameda County, California",812,132,40.1,8.3
6001402700,"Census Tract 4027, Alameda County, California",1020,271,9.9,8.3
6001402800,"Census Tract 4028, Alameda County, California",1626,369,20.4,6.5
6001402900,"Census Tract 4029, Alameda County, California",855,142,26.3,11.7
6001403000,"Census Tract 4030, Alameda County, California",2073,207,15.4,6.3
6001403100,"Census Tract 4031, Alameda County, California",850,163,15.3,8.4
6001403200,"Census Tract 4032, Alameda County, California",50,30,0,46.5
6001403300,"Census Tract 4033, Alameda County, California",3428,383,25.7,4.9
6001403400,"Census Tract 4034, Alameda County, California",4095,477,26.1,7.9
6001403500,"Census Tract 4035, Alameda County, California",4962,443,32.4,5.4
6001403600,"Census Tract 4036, Alameda County, California",4135,341,36,6.3
6001403700,"Census Tract 4037, Alameda County, California",4183,269,41.3,6.2
6001403800,"Census Tract 4038, Alameda County, California",3103,201,41.4,6.2
6001403900,"Census Tract 4039, Alameda County, California",3470,417,29.9,7.7
6001404000,"Census Tract 4040, Alameda County, California",2906,348,33,6.8
6001404100,"Census Tract 4041, Alameda County, California",5004,324,45.4,7
6001404200,"Census Tract 4042, Alameda County, California",2403,132,34,6.1
6001404300,"Census Tract 4043, Alameda County, California",2668,137,32.7,4.9
6001404400,"Census Tract 4044, Alameda County, California",4211,211,38.3,5.6
6001404501,"Census Tract 4045.01, Alameda County, California",1365,132,35.1,7.3
6001404502,"Census Tract 4045.02, Alameda County, California",4518,282,40,5.5
6001404600,"Census Tract 4046, Alameda County, California",3576,242,32.7,5.7
6001404700,"Census Tract 4047, Alameda County, California",1606,103,32.6,5.5
6001404800,"Census Tract 4048, Alameda County, California",2113,179,27.9,7.1
6001404900,"Census Tract 4049, Alameda County, California",3430,223,29.9,4.5
6001405000,"Census Tract 4050, Alameda County, California",2491,159,35.6,6.1
6001405100,"Census Tract 4051, Alameda County, California",3361,164,41.2,5.5
6001405200,"Census Tract 4052, Alameda County, California",3723,316,32.7,7
6001405300,"Census Tract 4053, Alameda County, California",4905,525,20.5,4.9
6001405400,"Census Tract 4054, Alameda County, California",4755,583,9.8,4.2
6001405500,"Census Tract 4055, Alameda County, California",2407,324,18.3,5.2
6001405600,"Census Tract 4056, Alameda County, California",2205,197,18.3,5.1
6001405700,"Census Tract 4057, Alameda County, California",2141,244,13.3,5.6
6001405800,"Census Tract 4058, Alameda County, California",2280,282,13.9,6
6001405900,"Census Tract 4059, Alameda County, California",4317,547,5.3,3.5
6001406000,"Census Tract 4060, Alameda County, California",2249,277,16.4,6.2
6001406100,"Census Tract 4061, Alameda County, California",2140,259,12.9,5.8
6001406201,"Census Tract 4062.01, Alameda County, California",3586,485,6.6,3.6
6001406202,"Census Tract 4062.02, Alameda County, California",2947,403,3.8,2.4
6001406300,"Census Tract 4063, Alameda County, California",2816,475,10.8,6.3
6001406400,"Census Tract 4064, Alameda County, California",1390,193,23,9.7
6001406500,"Census Tract 4065, Alameda County, California",3783,417,11.6,4.9
6001406600,"Census Tract 4066, Alameda County, California",4906,557,12.4,4.2
6001406700,"Census Tract 4067, Alameda County, California",3603,289,31,6.3
6001406800,"Census Tract 4068, Alameda County, California",2780,247,25.7,5.3
6001406900,"Census Tract 4069, Alameda County, California",3280,299,23.3,6.9
6001407000,"Census Tract 4070, Alameda County, California",4025,403,9,2.9
6001407100,"Census Tract 4071, Alameda County, California",4299,460,10.7,3.9
6001407200,"Census Tract 4072, Alameda County, California",3289,369,7,3.5
