Id2,Geography,All families - Total; Estimate; Families,All families - Total; Margin of Error; Families,All families - Percent  below poverty level; Estimate; Families,All families - Percent  below poverty level; Margin of Error; Families
6001400100,"Census Tract 4001, Alameda County, California",753,113,3.1,3.2
6001400200,"Census Tract 4002, Alameda County, California",518,86,0,7.4
6001400300,"Census Tract 4003, Alameda County, California",864,137,6.9,7.5
6001400400,"Census Tract 4004, Alameda County, California",773,116,4,4.5
6001400500,"Census Tract 4005, Alameda County, California",766,111,6,7.3
6001400600,"Census Tract 4006, Alameda County, California",345,89,26.4,15.7
6001400700,"Census Tract 4007, Alameda County, California",730,149,8.1,6.9
6001400800,"Census Tract 4008, Alameda County, California",591,96,21.7,14.9
6001400900,"Census Tract 4009, Alameda County, California",478,109,4,6.2
6001401000,"Census Tract 4010, Alameda County, California",1188,199,31.7,11.8
6001401100,"Census Tract 4011, Alameda County, California",480,143,25.2,16.4
6001401200,"Census Tract 4012, Alameda County, California",453,114,7.1,6.6
6001401300,"Census Tract 4013, Alameda County, California",501,120,35.7,14
6001401400,"Census Tract 4014, Alameda County, California",635,149,25.7,12.6
6001401500,"Census Tract 4015, Alameda County, California",582,131,16.8,9.9
6001401600,"Census Tract 4016, Alameda County, California",322,114,19.6,14.4
6001401700,"Census Tract 4017, Alameda County, California",349,93,32.7,19.4
6001401800,"Census Tract 4018, Alameda County, California",223,89,48.9,26.3
6001401900,"Census Tract 4019, Alameda County, California",167,96,6,9.9
6001402000,"Census Tract 4020, Alameda County, California",31,29,100,59.1
6001402100,"Census Tract 4021, Alameda County, California",527,105,41,15.4
6001402200,"Census Tract 4022, Alameda County, California",313,90,37.1,18.2
6001402300,"Census Tract 4023, Alameda County, California",41,52,0,51.4
6001402400,"Census Tract 4024, Alameda County, California",496,140,25.4,14.2
6001402500,"Census Tract 4025, Alameda County, California",526,134,30,18.3
6001402600,"Census Tract 4026, Alameda County, California",177,61,15.3,24.4
6001402700,"Census Tract 4027, Alameda County, California",256,98,21.1,14.4
6001402800,"Census Tract 4028, Alameda County, California",145,66,64.8,26.2
6001402900,"Census Tract 4029, Alameda County, California",159,76,25.8,25.6
6001403000,"Census Tract 4030, Alameda County, California",636,98,18.7,10.2
6001403100,"Census Tract 4031, Alameda County, California",166,69,41,27.2
6001403200,"Census Tract 4032, Alameda County, California",10,16,0,100
