Id2,Geography,Total number of households,Total number of households- MOE,Median income (dollars); All households,Median income (dollars)- MOE; All households
6001400100,"Census Tract 4001, Alameda County, California",1308,108,186439,29556
6001400200,"Census Tract 4002, Alameda County, California",902,42,122647,52826
6001400300,"Census Tract 4003, Alameda County, California",2626,132,66638,18686
6001400400,"Census Tract 4004, Alameda County, California",1964,87,80391,13620
6001400500,"Census Tract 4005, Alameda County, California",1686,82,50658,7802
6001400600,"Census Tract 4006, Alameda County, California",701,71,39802,13699
6001400700,"Census Tract 4007, Alameda County, California",1672,153,32471,12153
6001400800,"Census Tract 4008, Alameda County, California",1433,104,37750,12111
6001400900,"Census Tract 4009, Alameda County, California",1095,87,51767,19220
6001401000,"Census Tract 4010, Alameda County, California",2168,224,36875,11463
6001401100,"Census Tract 4011, Alameda County, California",2076,140,39495,4758
6001401200,"Census Tract 4012, Alameda County, California",1352,84,55592,8853
6001401300,"Census Tract 4013, Alameda County, California",1434,127,25833,7389
6001401400,"Census Tract 4014, Alameda County, California",1469,137,22785,5938
6001401500,"Census Tract 4015, Alameda County, California",961,123,27188,12123
6001401600,"Census Tract 4016, Alameda County, California",717,107,35439,4017
6001401700,"Census Tract 4017, Alameda County, California",637,109,52853,33976
6001401800,"Census Tract 4018, Alameda County, California",482,111,25043,12338
6001401900,"Census Tract 4019, Alameda County, California",256,112,48750,8388
6001402000,"Census Tract 4020, Alameda County, California",31,29,6845,2281
6001402100,"Census Tract 4021, Alameda County, California",802,91,20574,5309
6001402200,"Census Tract 4022, Alameda County, California",655,85,28355,10945
6001402300,"Census Tract 4023, Alameda County, California",146,78,42167,22295
6001402400,"Census Tract 4024, Alameda County, California",1032,111,20767,6989
6001402500,"Census Tract 4025, Alameda County, California",787,72,32847,22756
6001402600,"Census Tract 4026, Alameda County, California",540,72,28021,8331
6001402700,"Census Tract 4027, Alameda County, California",651,82,32882,18714
6001402800,"Census Tract 4028, Alameda County, California",1163,100,12246,1847
6001402900,"Census Tract 4029, Alameda County, California",763,76,20347,6848
6001403000,"Census Tract 4030, Alameda County, California",1211,151,17365,3074
6001403100,"Census Tract 4031, Alameda County, California",500,68,22452,12311
6001403200,"Census Tract 4032, Alameda County, California",40,22,107727,137967
6001403300,"Census Tract 4033, Alameda County, California",1936,181,51500,14703
6001403400,"Census Tract 4034, Alameda County, California",2960,136,46463,4085
6001403500,"Census Tract 4035, Alameda County, California",3554,212,40357,3817
6001403600,"Census Tract 4036, Alameda County, California",2709,143,53427,11159
6001403700,"Census Tract 4037, Alameda County, California",3058,192,60368,7201
6001403800,"Census Tract 4038, Alameda County, California",1997,105,74721,19186
6001403900,"Census Tract 4039, Alameda County, California",2415,90,76383,12912
6001404000,"Census Tract 4040, Alameda County, California",1777,125,60616,7419
6001404100,"Census Tract 4041, Alameda County, California",3600,173,55755,7295
6001404200,"Census Tract 4042, Alameda County, California",1456,60,133452,26944
6001404300,"Census Tract 4043, Alameda County, California",1406,61,182778,23855
6001404400,"Census Tract 4044, Alameda County, California",2372,117,117214,13775
6001404501,"Census Tract 4045.01, Alameda County, California",720,45,157813,50475
6001404502,"Census Tract 4045.02, Alameda County, California",2631,86,120439,20058
6001404600,"Census Tract 4046, Alameda County, California",1880,88,132672,13676
6001404700,"Census Tract 4047, Alameda County, California",849,52,133844,5738
6001404800,"Census Tract 4048, Alameda County, California",1384,43,67266,18356
6001404900,"Census Tract 4049, Alameda County, California",1989,96,69741,17792
6001405000,"Census Tract 4050, Alameda County, California",1519,104,87962,9701
6001405100,"Census Tract 4051, Alameda County, California",1670,73,166607,26023
6001405200,"Census Tract 4052, Alameda County, California",2451,171,54939,11538
6001405300,"Census Tract 4053, Alameda County, California",3406,100,43327,4510
6001405400,"Census Tract 4054, Alameda County, California",2682,176,26766,5221
6001405500,"Census Tract 4055, Alameda County, California",1442,154,44385,5510
6001405600,"Census Tract 4056, Alameda County, California",1379,100,42415,8836
6001405700,"Census Tract 4057, Alameda County, California",1254,118,41932,11814
6001405800,"Census Tract 4058, Alameda County, California",1246,109,33286,4248
6001405900,"Census Tract 4059, Alameda County, California",2056,140,37154,4113
6001406000,"Census Tract 4060, Alameda County, California",1401,115,29233,6108
6001406100,"Census Tract 4061, Alameda County, California",1310,115,47500,12269
6001406201,"Census Tract 4062.01, Alameda County, California",1480,112,28818,10625
6001406202,"Census Tract 4062.02, Alameda County, California",1240,101,27253,13542
6001406300,"Census Tract 4063, Alameda County, California",1256,102,43295,14639
