GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",2991,194,2878,196,113,61
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",1997,96,1820,116,177,80
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",5123,312,4738,333,385,173
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",3991,250,3614,276,377,202
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",3944,313,3537,311,407,183
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",1635,177,1495,158,140,64
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",4837,523,3980,381,857,415
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",3796,418,3375,393,421,193
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",2394,186,2105,192,289,150
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",6247,473,5010,520,1237,467
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",4205,334,3769,332,436,108
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",2601,184,2115,210,486,189
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",4054,649,3508,556,546,197
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",4013,423,3073,417,940,288
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",2638,298,2276,255,362,145
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",2098,209,1828,216,270,169
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",2769,363,1967,271,802,288
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",1928,269,1565,274,363,145
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",2557,196,1929,200,628,143
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",2820,326,2484,329,336,167
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",1770,193,1542,218,228,102
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",1241,92,1089,110,152,76
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",1826,210,1497,197,329,152
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",4255,265,3892,287,363,110
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",1417,104,1200,111,217,94
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",3251,263,3192,253,59,56
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",1830,227,1596,178,234,94
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",4743,420,4230,459,513,348
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",4401,349,4072,342,329,135
1400000US06001403501,06001403501,"Census Tract 4035.01, Alameda County, California",4698,328,4119,468,579,289
1400000US06001403502,06001403502,"Census Tract 4035.02, Alameda County, California",2066,231,1830,230,236,103
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",5025,463,4367,445,658,256
1400000US06001403701,06001403701,"Census Tract 4037.01, Alameda County, California",2825,181,2546,190,279,104
1400000US06001403702,06001403702,"Census Tract 4037.02, Alameda County, California",1901,232,1635,249,266,120
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",3299,239,3043,252,256,118
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",3989,306,3754,298,235,126
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",3033,233,2530,205,503,210
1400000US06001404101,06001404101,"Census Tract 4041.01, Alameda County, California",3033,225,2852,220,181,78
1400000US06001404102,06001404102,"Census Tract 4041.02, Alameda County, California",2422,172,2191,180,231,115
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",3600,222,3406,240,194,99
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",3324,222,2857,255,467,186
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",5425,246,5083,258,342,66
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",1857,100,1730,119,127,79
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",5556,314,5149,307,407,106
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",4544,265,4422,280,122,68
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",2084,131,1950,111,134,75
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",2723,218,2358,254,365,163
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",3937,192,3584,205,353,131
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",3328,196,3042,222,286,123
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",4334,217,4201,220,133,72
