Id2,Geography,Total; Estimate; Population for whom poverty status is determined,Total; Margin of Error; Population for whom poverty status is determined,Number Bbelow poverty level; Estimate; Population for whom poverty status is determined,Number below poverty level; Margin of Error; Population for whom poverty status is determined,Percent below poverty level; Estimate; Population for whom poverty status is determined,Percent below poverty level; Margin of Error; Population for whom poverty status is determined
6001400100,"Census Tract 4001, Alameda County, California",2982,195,126,80,4.2,2.6
6001400200,"Census Tract 4002, Alameda County, California",1993,94,109,45,5.5,2.2
6001400300,"Census Tract 4003, Alameda County, California",5086,300,382,163,7.5,3.2
6001400400,"Census Tract 4004, Alameda County, California",3979,250,368,219,9.2,5.4
6001400500,"Census Tract 4005, Alameda County, California",3927,308,370,218,9.4,5.2
6001400600,"Census Tract 4006, Alameda County, California",1635,177,179,91,10.9,5.1
6001400700,"Census Tract 4007, Alameda County, California",4825,523,770,335,16,6.7
6001400800,"Census Tract 4008, Alameda County, California",3747,393,452,159,12.1,4.1
6001400900,"Census Tract 4009, Alameda County, California",2354,173,359,148,15.3,6
6001401000,"Census Tract 4010, Alameda County, California",6239,472,1554,519,24.9,8.2
6001401100,"Census Tract 4011, Alameda County, California",4205,334,547,209,13,4.6
6001401200,"Census Tract 4012, Alameda County, California",2580,186,217,85,8.4,3.3
6001401300,"Census Tract 4013, Alameda County, California",3765,635,1143,487,30.4,8.6
6001401400,"Census Tract 4014, Alameda County, California",3978,417,1394,363,35,7.9
6001401500,"Census Tract 4015, Alameda County, California",2638,298,567,164,21.5,6
6001401600,"Census Tract 4016, Alameda County, California",2098,209,452,144,21.5,6.8
6001401700,"Census Tract 4017, Alameda County, California",2753,361,515,196,18.7,6.9
6001401800,"Census Tract 4018, Alameda County, California",1928,269,576,172,29.9,8
6001402200,"Census Tract 4022, Alameda County, California",2546,192,712,193,28,6.7
6001402400,"Census Tract 4024, Alameda County, California",2801,326,537,154,19.2,5.1
6001402500,"Census Tract 4025, Alameda County, California",1770,193,756,190,42.7,9.2
6001402600,"Census Tract 4026, Alameda County, California",1241,92,552,123,44.5,8.7
6001402700,"Census Tract 4027, Alameda County, California",1812,210,512,172,28.3,8.1
6001402800,"Census Tract 4028, Alameda County, California",4255,265,1324,269,31.1,6.8
6001402900,"Census Tract 4029, Alameda County, California",1323,95,392,104,29.6,7.8
6001403000,"Census Tract 4030, Alameda County, California",3251,263,890,269,27.4,8.2
6001403100,"Census Tract 4031, Alameda County, California",1436,161,514,144,35.8,8.2
6001403300,"Census Tract 4033, Alameda County, California",4743,420,1688,523,35.6,10.8
6001403400,"Census Tract 4034, Alameda County, California",4379,350,515,219,11.8,4.8
6001403501,"Census Tract 4035.01, Alameda County, California",4639,361,923,366,19.9,7.2
6001403502,"Census Tract 4035.02, Alameda County, California",2066,231,286,134,13.8,6.3
6001403600,"Census Tract 4036, Alameda County, California",4925,464,317,168,6.4,3.4
6001403701,"Census Tract 4037.01, Alameda County, California",2787,179,318,134,11.4,4.9
6001403702,"Census Tract 4037.02, Alameda County, California",1901,232,102,53,5.4,2.9
6001403800,"Census Tract 4038, Alameda County, California",3299,239,242,142,7.3,4.1
6001403900,"Census Tract 4039, Alameda County, California",3989,306,434,169,10.9,4.1
6001404000,"Census Tract 4040, Alameda County, California",3033,233,264,100,8.7,3.1
6001404101,"Census Tract 4041.01, Alameda County, California",3030,226,204,81,6.7,2.8
6001404102,"Census Tract 4041.02, Alameda County, California",2290,152,148,61,6.5,2.6
6001404200,"Census Tract 4042, Alameda County, California",3416,207,101,59,3,1.7
6001404300,"Census Tract 4043, Alameda County, California",3324,222,76,53,2.3,1.6
6001404400,"Census Tract 4044, Alameda County, California",5408,248,276,175,5.1,3.2
6001404501,"Census Tract 4045.01, Alameda County, California",1840,98,82,61,4.5,3.3
6001404502,"Census Tract 4045.02, Alameda County, California",5556,314,44,41,0.8,0.7
6001404600,"Census Tract 4046, Alameda County, California",4540,267,121,64,2.7,1.4
6001404700,"Census Tract 4047, Alameda County, California",2084,131,108,76,5.2,3.7
6001404800,"Census Tract 4048, Alameda County, California",2723,218,243,130,8.9,4.6
6001404900,"Census Tract 4049, Alameda County, California",3937,192,218,82,5.5,2.1
6001405000,"Census Tract 4050, Alameda County, California",3319,197,169,86,5.1,2.6
6001405100,"Census Tract 4051, Alameda County, California",4334,217,88,51,2,1.2
6001405200,"Census Tract 4052, Alameda County, California",5125,400,302,127,5.9,2.5
6001405301,"Census Tract 4053.01, Alameda County, California",3019,226,360,149,11.9,4.9
6001405302,"Census Tract 4053.02, Alameda County, California",2446,187,462,160,18.9,6.8
6001405401,"Census Tract 4054.01, Alameda County, California",3989,361,836,226,21,5.7
6001405402,"Census Tract 4054.02, Alameda County, California",3163,401,655,218,20.7,7.3
6001405500,"Census Tract 4055, Alameda County, California",4124,274,892,236,21.6,5.5
6001405600,"Census Tract 4056, Alameda County, California",3171,337,343,164,10.8,4.8
6001405700,"Census Tract 4057, Alameda County, California",3724,420,897,327,24.1,8.5
6001405800,"Census Tract 4058, Alameda County, California",4437,436,1551,351,35,7.4
