Tract,Year,CRA Eligible
6001433700,2009,eligible
6001435101,2009,not eligible
6001435101,2009,not eligible
6001435101,2009,not eligible
6001435101,2009,not eligible
6001435101,2009,not eligible
6001435102,2009,not eligible
6001435102,2009,not eligible
6001435102,2009,not eligible
6075011700,2009,eligible
6075026402,2009,eligible
6085505006,2009,not eligible
6085505006,2009,not eligible
6085505006,2009,not eligible
6085512200,2009,not eligible
6085512200,2009,not eligible
6085512200,2009,not eligible
6085512602,2009,eligible
6085512602,2009,eligible
6095252702,2009,not eligible
6095252702,2009,not eligible
6097150500,2009,not eligible
6097150500,2009,not eligible
6097150500,2009,not eligible
6001428000,2009,eligible
6013359203,2009,not eligible
6013359203,2009,not eligible
6013361000,2009,not eligible
6013361000,2009,not eligible
6013361000,2009,not eligible
6013361000,2009,not eligible
6055201900,2009,not eligible
6075010500,2009,not eligible
6075026002,2009,eligible
6075035100,2009,not eligible
6085504202,2009,not eligible
6085504202,2009,not eligible
6085504202,2009,not eligible
6085504417,2009,not eligible
6085504417,2009,not eligible
6085504417,2009,not eligible
6085504602,2009,eligible
6085504602,2009,eligible
6085504602,2009,eligible
6085504602,2009,eligible
6085504602,2009,eligible
6085512001,2009,not eligible
6085512001,2009,not eligible
6097151201,2009,not eligible
6097151201,2009,not eligible
6097151201,2009,not eligible
6097151201,2009,not eligible
6001403100,2009,eligible
6001423500,2009,eligible
6095252305,2009,not eligible
6095252305,2009,not eligible
6095250400,2009,not eligible
6095250400,2009,not eligible
6085512700,2009,not eligible
6085512700,2009,not eligible
6085512700,2009,not eligible
6097152400,2009,not eligible
6097152400,2009,not eligible
6097152400,2009,not eligible
6001428400,2009,not eligible
6081610601,2009,eligible
6001402500,2009,eligible
6001400900,2009,eligible
6001408700,2009,eligible
6085503708,2009,eligible
6081601700,2009,not eligible
6075030202,2009,not eligible
6075010100,2009,eligible
6075060501,2009,not eligible
6075045100,2009,eligible
6075045200,2009,not eligible
6081606300,2009,not eligible
6085504001,2009,eligible
6085504001,2009,eligible
6085504001,2009,eligible
6095251902,2009,not eligible
6001403000,2009,eligible
6013313202,2009,not eligible
6013313202,2009,not eligible
6013313202,2009,not eligible
6013313202,2009,not eligible
6001420500,2009,not eligible
6001401800,2009,eligible
6013314102,2009,not eligible
6013314102,2009,not eligible
6013314102,2009,not eligible
6013369001,2009,eligible
6075033202,2009,eligible
6081610203,2009,eligible
6085501000,2009,eligible
6085503218,2009,eligible
6001402100,2009,eligible
6013315000,2009,not eligible
6013315000,2009,not eligible
6013315000,2009,not eligible
6013315000,2009,not eligible
6085504413,2009,not eligible
6085505402,2009,not eligible
6013318000,2009,not eligible
6013318000,2009,not eligible
6085510802,2009,not eligible
6095252609,2009,eligible
6095252609,2009,eligible
6095252609,2009,eligible
6097151401,2009,not eligible
6097151401,2009,not eligible
6001441503,2009,not eligible
6001441503,2009,not eligible
6013322000,2009,not eligible
6013322000,2009,not eligible
6013334004,2009,not eligible
6085512015,2009,not eligible
6085512508,2009,eligible
6013307205,2009,not eligible
6013307205,2009,not eligible
6001406100,2009,eligible
6001407800,2009,not eligible
6001423602,2009,eligible
6001427100,2009,not eligible
6001428200,2009,not eligible
6001433800,2009,eligible
6001433800,2009,eligible
6001436800,2009,not eligible
6001437100,2009,not eligible
6001437100,2009,not eligible
6001437100,2009,not eligible
6001440100,2009,not eligible
6001440100,2009,not eligible
6001440100,2009,not eligible
6001440100,2009,not eligible
6013313103,2009,not eligible
6013313103,2009,not eligible
6013313103,2009,not eligible
6013303200,2009,not eligible
6013303200,2009,not eligible
6013303200,2009,not eligible
6013304000,2009,not eligible
6013304000,2009,not eligible
6013304000,2009,not eligible
6013304000,2009,not eligible
6013357000,2009,not eligible
6013357000,2009,not eligible
6013357000,2009,not eligible
6013358000,2009,eligible
6013358000,2009,eligible
6013358000,2009,eligible
6013358000,2009,eligible
6041104101,2009,not eligible
6041104200,2009,not eligible
6041104200,2009,not eligible
6041107000,2009,not eligible
6041107000,2009,not eligible
6041110100,2009,not eligible
6041110100,2009,not eligible
6041119200,2009,not eligible
6041119200,2009,not eligible
6041128100,2009,not eligible
6075020300,2009,not eligible
6097153705,2009,not eligible
6097153705,2009,not eligible
6097153705,2009,not eligible
6097153706,2009,not eligible
6097153706,2009,not eligible
6097153706,2009,not eligible
6055200202,2009,eligible
6075015100,2009,not eligible
6081601502,2009,eligible
6075016400,2009,eligible
6075017602,2009,eligible
6075025200,2009,not eligible
6075025800,2009,eligible
6075025900,2009,not eligible
6075035201,2009,not eligible
6075042700,2009,not eligible
6097154000,2009,not eligible
6097154000,2009,not eligible
6075060700,2009,eligible
6081604400,2009,not eligible
6081604400,2009,not eligible
6085500902,2009,eligible
6081608300,2009,not eligible
6081610100,2009,eligible
