Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid
4001.0,2008,Alameda County,high,not eligible,0.0,0,0.9907407407407407,107,0.0,0,0.0,0,6001400100
4002.0,2008,Alameda County,high,not eligible,0.0,0,1.0,30,0.0,0,0.0,0,6001400200
4003.0,2008,Alameda County,mid,not eligible,0.0,0,0.925531914893617,87,0.0,0,0.0,0,6001400300
4004.0,2008,Alameda County,mid,not eligible,0.0,0,0.8958333333333334,43,0.0,0,0.0,0,6001400400
4005.0,2008,Alameda County,mod,eligible,0.9298245614035088,53,0.0,0,0.0,0,0.0,0,6001400500
4006.0,2008,Alameda County,mod,eligible,0.8695652173913043,20,0.0,0,0.0,0,0.0,0,6001400600
4007.0,2008,Alameda County,mod,eligible,0.6464646464646465,64,0.0,0,0.0,0,0.0,0,6001400700
4008.0,2008,Alameda County,mod,eligible,0.8505747126436781,74,0.0,0,0.0,0,0.0,0,6001400800
4009.0,2008,Alameda County,mod,eligible,0.6440677966101694,38,0.0,0,0.0,0,0.0,0,6001400900
4010.0,2008,Alameda County,low,eligible,0.6592592592592592,89,0.0,0,0.0,0,0.0,0,6001401000
4011.0,2008,Alameda County,mod,eligible,0.9508196721311475,58,0.0,0,0.0,0,0.0,0,6001401100
4012.0,2008,Alameda County,mid,not eligible,0.0,0,0.88,44,0.0,0,0.0,0,6001401200
4013.0,2008,Alameda County,low,eligible,0.7941176470588235,27,0.0,0,0.0,0,0.0,0,6001401300
4014.0,2008,Alameda County,low,eligible,0.7439024390243902,61,0.0,0,0.0,0,0.0,0,6001401400
4015.0,2008,Alameda County,low,eligible,0.6612903225806451,41,0.0,0,0.0,0,0.0,0,6001401500
4016.0,2008,Alameda County,low,eligible,0.8666666666666667,26,0.0,0,0.0,0,0.0,0,6001401600
4017.0,2008,Alameda County,low,eligible,0.865979381443299,84,0.0,0,0.0,0,0.0,0,6001401700
4018.0,2008,Alameda County,low,eligible,0.8888888888888888,24,0.0,0,0.0,0,0.0,0,6001401800
4019.0,2008,Alameda County,mid,not eligible,0.0,0,1.0,5,0.0,0,0.0,0,6001401900
4020.0,2008,Alameda County,mid,not eligible,0.0,0,0.75,3,0.0,0,0.0,0,6001402000
4021.0,2008,Alameda County,low,eligible,1.0,3,0.0,0,0.0,0,0.0,0,6001402100
4022.0,2008,Alameda County,low,eligible,0.5454545454545454,12,0.0,0,0.0,0,0.0,0,6001402200
4023.0,2008,Alameda County,mod,eligible,0.9,9,0.0,0,0.0,0,0.0,0,6001402300
4024.0,2008,Alameda County,low,eligible,0.6153846153846154,16,0.0,0,0.0,0,0.0,0,6001402400
4025.0,2008,Alameda County,low,eligible,0.38461538461538464,5,0.0,0,0.0,0,0.0,0,6001402500
