,Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract"
0,4001.0,2012,Alameda County,high,not eligible,0.0,0,1.0,85,0.0,0,0.0,0
1,4002.0,2012,Alameda County,high,not eligible,0.0,0,1.0,18,0.0,0,0.0,0
2,4003.0,2012,Alameda County,mid,not eligible,0.0,0,0.8245614035087719,47,0.0,0,0.17543859649122806,10
3,4004.0,2012,Alameda County,mid,not eligible,0.0,0,0.9807692307692307,51,0.0,0,0.019230769230769232,1
4,4005.0,2012,Alameda County,mod,eligible,0.8627450980392157,44,0.0,0,0.13725490196078433,7,0.0,0
5,4006.0,2012,Alameda County,mod,eligible,0.9130434782608695,21,0.0,0,0.08695652173913043,2,0.0,0
6,4007.0,2012,Alameda County,mod,eligible,0.8289473684210527,63,0.0,0,0.17105263157894737,13,0.0,0
7,4008.0,2012,Alameda County,mod,eligible,0.863013698630137,63,0.0,0,0.136986301369863,10,0.0,0
8,4009.0,2012,Alameda County,mod,eligible,0.85,34,0.0,0,0.15,6,0.0,0
9,4010.0,2012,Alameda County,mod,eligible,0.6386554621848739,76,0.0,0,0.36134453781512604,43,0.0,0
10,4011.0,2012,Alameda County,mod,eligible,0.7575757575757576,25,0.0,0,0.24242424242424243,8,0.0,0
11,4012.0,2012,Alameda County,mid,not eligible,0.0,0,0.9166666666666666,33,0.0,0,0.08333333333333333,3
12,4013.0,2012,Alameda County,low,eligible,0.75,39,0.0,0,0.25,13,0.0,0
13,4014.0,2012,Alameda County,low,eligible,0.5526315789473685,21,0.0,0,0.4473684210526316,17,0.0,0
14,4015.0,2012,Alameda County,low,eligible,0.54,27,0.0,0,0.46,23,0.0,0
15,4016.0,2012,Alameda County,mod,eligible,0.5625,9,0.0,0,0.4375,7,0.0,0
16,4017.0,2012,Alameda County,mod,eligible,0.717948717948718,84,0.0,0,0.28205128205128205,33,0.0,0
17,4018.0,2012,Alameda County,low,eligible,0.5263157894736842,10,0.0,0,0.47368421052631576,9,0.0,0
18,4022.0,2012,Alameda County,mod,eligible,0.6944444444444444,25,0.0,0,0.3055555555555556,11,0.0,0
19,4024.0,2012,Alameda County,low,eligible,0.6,9,0.0,0,0.4,6,0.0,0
