Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid
3010.0,2013,Contra Costa County,mid,not eligible,0.0,0,0.7608695652173914,245,0.0,0,0.0,0,6013301000
3020.05,2013,Contra Costa County,mid,not eligible,0.0,0,0.48,48,0.0,0,0.0,0,6013302005
3020.06,2013,Contra Costa County,mid,not eligible,0.0,0,0.6060606060606061,40,0.0,0,0.0,0,6013302006
3020.07,2013,Contra Costa County,mid,not eligible,0.0,0,0.5748502994011976,96,0.0,0,0.0,0,6013302007
3020.08,2013,Contra Costa County,mid,not eligible,0.0,0,0.654320987654321,106,0.0,0,0.0,0,6013302008
3020.09,2013,Contra Costa County,mid,not eligible,0.0,0,0.7749287749287749,272,0.0,0,0.0,0,6013302009
3020.1,2013,Contra Costa County,mid,not eligible,0.0,0,0.7231270358306189,222,0.0,0,0.0,0,6013302010
3031.02,2013,Contra Costa County,mid,not eligible,0.0,0,0.8753315649867374,330,0.0,0,0.0,0,6013303102
3031.03,2013,Contra Costa County,mid,not eligible,0.0,0,0.8339100346020761,241,0.0,0,0.0,0,6013303103
3032.01,2013,Contra Costa County,mid,not eligible,0.0,0,0.7279693486590039,190,0.0,0,0.0,0,6013303201
3032.02,2013,Contra Costa County,high,not eligible,0.0,0,0.8504672897196262,182,0.0,0,0.0,0,6013303202
3032.03,2013,Contra Costa County,high,not eligible,0.0,0,0.9128630705394191,220,0.0,0,0.0,0,6013303203
3032.04,2013,Contra Costa County,mid,not eligible,0.0,0,0.6704545454545454,59,0.0,0,0.0,0,6013303204
3032.05,2013,Contra Costa County,mid,not eligible,0.0,0,0.7330316742081447,162,0.0,0,0.0,0,6013303205
3040.01,2013,Contra Costa County,high,not eligible,0.0,0,0.9137931034482759,106,0.0,0,0.0,0,6013304001
3040.02,2013,Contra Costa County,mod,eligible,0.7368421052631579,28,0.0,0,0.0,0,0.0,0,6013304002
