,Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract"
0,1011.0,2015,Marin County,mid,not eligible,0.0,0,0.9649122807017544,55,0.0,0,0.03508771929824561,2
1,1012.0,2015,Marin County,mod,eligible,0.8979591836734694,44,0.0,0,0.10204081632653061,5,0.0,0
2,1021.0,2015,Marin County,mid,not eligible,0.0,0,0.7391304347826086,34,0.0,0,0.2608695652173913,12
3,1022.02,2015,Marin County,mod,eligible,0.7978723404255319,75,0.0,0,0.20212765957446807,19,0.0,0
4,1022.03,2015,Marin County,mod,eligible,0.8354430379746836,66,0.0,0,0.16455696202531644,13,0.0,0
5,1031.0,2015,Marin County,mid,not eligible,0.0,0,0.9029126213592233,93,0.0,0,0.0970873786407767,10
6,1032.0,2015,Marin County,mid,not eligible,0.0,0,0.8210526315789474,78,0.0,0,0.17894736842105263,17
7,1041.01,2015,Marin County,mid,not eligible,0.0,0,0.8543046357615894,129,0.0,0,0.1456953642384106,22
8,1041.02,2015,Marin County,mod,eligible,0.6694214876033058,81,0.0,0,0.3305785123966942,40,0.0,0
9,1042.0,2015,Marin County,mid,not eligible,0.0,0,0.875,84,0.0,0,0.125,12
10,1043.0,2015,Marin County,mid,not eligible,0.0,0,0.9487179487179487,37,0.0,0,0.05128205128205128,2
11,1050.0,2015,Marin County,mid,not eligible,0.0,0,0.6190476190476191,65,0.0,0,0.38095238095238093,40
12,1060.01,2015,Marin County,mid,not eligible,0.0,0,0.5324675324675324,41,0.0,0,0.4675324675324675,36
13,1060.02,2015,Marin County,mod,eligible,0.7864077669902912,81,0.0,0,0.21359223300970873,22,0.0,0
14,1070.0,2015,Marin County,mid,not eligible,0.0,0,0.9072164948453608,88,0.0,0,0.09278350515463918,9
15,1081.0,2015,Marin County,mid,not eligible,0.0,0,0.9553571428571429,107,0.0,0,0.044642857142857144,5
16,1082.0,2015,Marin County,mod,eligible,0.8985507246376812,62,0.0,0,0.10144927536231885,7,0.0,0
17,1090.01,2015,Marin County,mid,not eligible,0.0,0,0.9444444444444444,51,0.0,0,0.05555555555555555,3
18,1090.02,2015,Marin County,mid,not eligible,0.0,0,0.9433962264150944,50,0.0,0,0.05660377358490566,3
19,1101.0,2015,Marin County,mid,not eligible,0.0,0,0.96875,93,0.0,0,0.03125,3
20,1102.0,2015,Marin County,high,not eligible,0.0,0,0.9807692307692307,102,0.0,0,0.019230769230769232,2
21,1110.0,2015,Marin County,mid,not eligible,0.0,0,0.9032258064516129,56,0.0,0,0.0967741935483871,6
22,1121.0,2015,Marin County,mid,not eligible,0.0,0,0.9354838709677419,58,0.0,0,0.06451612903225806,4
23,1122.01,2015,Marin County,low,eligible,0.8181818181818182,9,0.0,0,0.18181818181818182,2,0.0,0
24,1122.02,2015,Marin County,low,eligible,0.6571428571428571,23,0.0,0,0.34285714285714286,12,0.0,0
25,1130.0,2015,Marin County,mid,not eligible,0.0,0,0.8307692307692308,54,0.0,0,0.16923076923076924,11
26,1141.0,2015,Marin County,mid,not eligible,0.0,0,0.8651685393258427,77,0.0,0,0.1348314606741573,12
27,1142.0,2015,Marin County,mid,not eligible,0.0,0,0.8833333333333333,53,0.0,0,0.11666666666666667,7
28,1150.0,2015,Marin County,mid,not eligible,0.0,0,0.9803921568627451,100,0.0,0,0.0196078431372549,2
29,1160.0,2015,Marin County,mod,eligible,0.8478260869565217,39,0.0,0,0.15217391304347827,7,0.0,0
30,1170.0,2015,Marin County,mid,not eligible,0.0,0,1.0,64,0.0,0,0.0,0
31,1181.0,2015,Marin County,high,not eligible,0.0,0,1.0,27,0.0,0,0.0,0
32,1191.0,2015,Marin County,high,not eligible,0.0,0,0.967741935483871,60,0.0,0,0.03225806451612903,2
33,1192.01,2015,Marin County,mod,eligible,0.813953488372093,35,0.0,0,0.18604651162790697,8,0.0,0
