,Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract"
0,101.0,2009,San Francisco County,mod,eligible,0.8947368421052632,34,0.0,0,0.10526315789473684,4,0.0,0
1,102.0,2009,San Francisco County,high,not eligible,0.0,0,1.0,52,0.0,0,0.0,0
2,103.0,2009,San Francisco County,mid,not eligible,0.0,0,0.9777777777777777,44,0.0,0,0.022222222222222223,1
3,104.0,2009,San Francisco County,mid,not eligible,0.0,0,0.9705882352941176,33,0.0,0,0.029411764705882353,1
4,105.0,2009,San Francisco County,high,not eligible,0.0,0,0.9655172413793104,28,0.0,0,0.034482758620689655,1
5,106.0,2009,San Francisco County,mod,eligible,1.0,16,0.0,0,0.0,0,0.0,0
6,107.0,2009,San Francisco County,low,eligible,0.75,3,0.0,0,0.25,1,0.0,0
7,108.0,2009,San Francisco County,mod,eligible,0.9615384615384616,25,0.0,0,0.038461538461538464,1,0.0,0
8,109.0,2009,San Francisco County,mid,not eligible,0.0,0,1.0,42,0.0,0,0.0,0
9,110.0,2009,San Francisco County,mod,eligible,0.9285714285714286,26,0.0,0,0.07142857142857142,2,0.0,0
10,111.0,2009,San Francisco County,low,eligible,0.8857142857142857,31,0.0,0,0.11428571428571428,4,0.0,0
11,112.0,2009,San Francisco County,mid,not eligible,0.0,0,1.0,15,0.0,0,0.0,0
12,113.0,2009,San Francisco County,low,eligible,0.875,14,0.0,0,0.125,2,0.0,0
13,114.0,2009,San Francisco County,low,eligible,0.0,0,0.0,0,1.0,1,0.0,0
14,115.0,2009,San Francisco County,low,eligible,1.0,1,0.0,0,0.0,0,0.0,0
15,117.0,2009,San Francisco County,low,eligible,0.8421052631578947,16,0.0,0,0.15789473684210525,3,0.0,0
16,118.0,2009,San Francisco County,low,eligible,1.0,2,0.0,0,0.0,0,0.0,0
17,119.0,2009,San Francisco County,mod,eligible,0.725,29,0.0,0,0.275,11,0.0,0
18,120.0,2009,San Francisco County,low,eligible,1.0,6,0.0,0,0.0,0,0.0,0
19,121.0,2009,San Francisco County,mod,eligible,0.7692307692307693,30,0.0,0,0.23076923076923078,9,0.0,0
20,122.0,2009,San Francisco County,low,eligible,0.7777777777777778,21,0.0,0,0.2222222222222222,6,0.0,0
21,123.0,2009,San Francisco County,low,eligible,0.5,1,0.0,0,0.5,1,0.0,0
22,124.0,2009,San Francisco County,low,eligible,0.8947368421052632,85,0.0,0,0.10526315789473684,10,0.0,0
23,125.0,2009,San Francisco County,low,eligible,0.5806451612903226,18,0.0,0,0.41935483870967744,13,0.0,0
24,126.0,2009,San Francisco County,high,not eligible,0.0,0,1.0,51,0.0,0,0.0,0
25,127.0,2009,San Francisco County,high,not eligible,0.0,0,0.9803921568627451,50,0.0,0,0.0196078431372549,1
26,128.0,2009,San Francisco County,high,not eligible,0.0,0,0.9782608695652174,45,0.0,0,0.021739130434782608,1
27,129.0,2009,San Francisco County,mid,not eligible,0.0,0,0.9358974358974359,73,0.0,0,0.0641025641025641,5
28,130.0,2009,San Francisco County,high,not eligible,0.0,0,1.0,38,0.0,0,0.0,0
29,131.0,2009,San Francisco County,high,not eligible,0.0,0,0.9375,75,0.0,0,0.0625,5
30,132.0,2009,San Francisco County,high,not eligible,0.0,0,0.9777777777777777,44,0.0,0,0.022222222222222223,1
31,133.0,2009,San Francisco County,high,not eligible,0.0,0,0.9552238805970149,64,0.0,0,0.04477611940298507,3
32,134.0,2009,San Francisco County,high,not eligible,0.0,0,1.0,62,0.0,0,0.0,0
33,135.0,2009,San Francisco County,high,not eligible,0.0,0,1.0,31,0.0,0,0.0,0
34,151.0,2009,San Francisco County,mid,not eligible,0.0,0,0.88,22,0.0,0,0.12,3
35,152.0,2009,San Francisco County,mid,not eligible,0.0,0,0.96,48,0.0,0,0.04,2
36,153.0,2009,San Francisco County,high,not eligible,0.0,0,0.95,38,0.0,0,0.05,2
37,154.0,2009,San Francisco County,mid,not eligible,0.0,0,0.9846153846153847,64,0.0,0,0.015384615384615385,1
38,155.0,2009,San Francisco County,mod,eligible,0.8333333333333334,25,0.0,0,0.16666666666666666,5,0.0,0
39,156.0,2009,San Francisco County,mid,not eligible,0.0,0,1.0,20,0.0,0,0.0,0
40,157.0,2009,San Francisco County,mid,not eligible,0.0,0,0.9827586206896551,57,0.0,0,0.017241379310344827,1
41,158.0,2009,San Francisco County,mod,eligible,0.84,63,0.0,0,0.16,12,0.0,0
42,159.0,2009,San Francisco County,mod,eligible,0.8888888888888888,32,0.0,0,0.1111111111111111,4,0.0,0
43,160.0,2009,San Francisco County,mod,eligible,0.8529411764705882,29,0.0,0,0.14705882352941177,5,0.0,0
44,161.0,2009,San Francisco County,low,eligible,0.42857142857142855,9,0.0,0,0.5714285714285714,12,0.0,0
45,162.0,2009,San Francisco County,mod,eligible,0.875,42,0.0,0,0.125,6,0.0,0
46,163.0,2009,San Francisco County,low,eligible,1.0,34,0.0,0,0.0,0,0.0,0
47,164.0,2009,San Francisco County,mod,eligible,0.8043478260869565,37,0.0,0,0.1956521739130435,9,0.0,0
48,165.0,2009,San Francisco County,mod,eligible,0.9491525423728814,56,0.0,0,0.05084745762711865,3,0.0,0
49,166.0,2009,San Francisco County,mid,not eligible,0.0,0,0.8852459016393442,54,0.0,0,0.11475409836065574,7
50,167.0,2009,San Francisco County,mid,not eligible,0.0,0,0.921875,59,0.0,0,0.078125,5
51,168.0,2009,San Francisco County,mod,eligible,0.9270833333333334,89,0.0,0,0.07291666666666667,7,0.0,0
52,169.0,2009,San Francisco County,mid,not eligible,0.0,0,0.8939393939393939,59,0.0,0,0.10606060606060606,7
53,170.0,2009,San Francisco County,high,not eligible,0.0,0,0.9652173913043478,111,0.0,0,0.034782608695652174,4
54,171.0,2009,San Francisco County,high,not eligible,0.0,0,0.9818181818181818,108,0.0,0,0.01818181818181818,2
55,176.01,2009,San Francisco County,low,eligible,0.7938931297709924,104,0.0,0,0.20610687022900764,27,0.0,0
56,176.02,2009,San Francisco County,mod,eligible,0.8888888888888888,144,0.0,0,0.1111111111111111,18,0.0,0
57,177.0,2009,San Francisco County,mod,eligible,0.96,24,0.0,0,0.04,1,0.0,0
58,178.0,2009,San Francisco County,low,eligible,0.8489208633093526,118,0.0,0,0.1510791366906475,21,0.0,0
59,179.01,2009,San Francisco County,high,not eligible,0.0,0,0.931930693069307,753,0.0,0,0.06806930693069307,55
60,179.02,2009,San Francisco County,mid,not eligible,0.0,0,1.0,1,0.0,0,0.0,0
61,180.0,2009,San Francisco County,mod,eligible,0.9724770642201835,106,0.0,0,0.027522935779816515,3,0.0,0
62,201.0,2009,San Francisco County,low,eligible,0.8333333333333334,50,0.0,0,0.16666666666666666,10,0.0,0
63,202.0,2009,San Francisco County,mod,eligible,0.9027777777777778,65,0.0,0,0.09722222222222222,7,0.0,0
64,203.0,2009,San Francisco County,mid,not eligible,0.0,0,0.9534883720930233,41,0.0,0,0.046511627906976744,2
65,204.0,2009,San Francisco County,high,not eligible,0.0,0,0.9913793103448276,115,0.0,0,0.008620689655172414,1
66,205.0,2009,San Francisco County,mid,not eligible,0.0,0,0.9310344827586207,54,0.0,0,0.06896551724137931,4
67,206.0,2009,San Francisco County,high,not eligible,0.0,0,0.9882352941176471,84,0.0,0,0.011764705882352941,1
68,207.0,2009,San Francisco County,mid,not eligible,0.0,0,0.8552631578947368,65,0.0,0,0.14473684210526316,11
69,208.0,2009,San Francisco County,mod,eligible,0.8279569892473119,77,0.0,0,0.17204301075268819,16,0.0,0
70,209.0,2009,San Francisco County,mod,eligible,0.9333333333333333,28,0.0,0,0.06666666666666667,2,0.0,0
71,210.0,2009,San Francisco County,mod,eligible,0.96875,31,0.0,0,0.03125,1,0.0,0
72,211.0,2009,San Francisco County,high,not eligible,0.0,0,1.0,52,0.0,0,0.0,0
73,212.0,2009,San Francisco County,high,not eligible,0.0,0,0.9833333333333333,59,0.0,0,0.016666666666666666,1
74,213.0,2009,San Francisco County,high,not eligible,0.0,0,0.9821428571428571,55,0.0,0,0.017857142857142856,1
75,214.0,2009,San Francisco County,high,not eligible,0.0,0,0.95,57,0.0,0,0.05,3
76,215.0,2009,San Francisco County,mid,not eligible,0.0,0,0.941747572815534,97,0.0,0,0.05825242718446602,6
77,216.0,2009,San Francisco County,high,not eligible,0.0,0,0.9338842975206612,113,0.0,0,0.06611570247933884,8
78,217.0,2009,San Francisco County,mid,not eligible,0.0,0,0.8795180722891566,73,0.0,0,0.12048192771084337,10
79,218.0,2009,San Francisco County,high,not eligible,0.0,0,0.9876543209876543,80,0.0,0,0.012345679012345678,1
80,226.0,2009,San Francisco County,mid,not eligible,0.0,0,0.9292929292929293,92,0.0,0,0.0707070707070707,7
81,227.01,2009,San Francisco County,high,not eligible,0.0,0,0.9905660377358491,105,0.0,0,0.009433962264150943,1
82,227.02,2009,San Francisco County,high,not eligible,0.0,0,1.0,33,0.0,0,0.0,0
83,227.03,2009,San Francisco County,mod,eligible,0.8095238095238095,68,0.0,0,0.19047619047619047,16,0.0,0
84,228.01,2009,San Francisco County,mod,eligible,0.7142857142857143,90,0.0,0,0.2857142857142857,36,0.0,0
85,228.02,2009,San Francisco County,mod,eligible,0.9375,15,0.0,0,0.0625,1,0.0,0
86,228.03,2009,San Francisco County,mod,eligible,1.0,18,0.0,0,0.0,0,0.0,0
87,229.01,2009,San Francisco County,mod,eligible,0.7741935483870968,24,0.0,0,0.22580645161290322,7,0.0,0
88,229.02,2009,San Francisco County,mod,eligible,0.875,35,0.0,0,0.125,5,0.0,0
89,229.03,2009,San Francisco County,mod,eligible,0.7619047619047619,16,0.0,0,0.23809523809523808,5,0.0,0
90,230.01,2009,San Francisco County,mod,eligible,0.5555555555555556,40,0.0,0,0.4444444444444444,32,0.0,0
91,230.02,2009,San Francisco County,mod,eligible,0.6363636363636364,21,0.0,0,0.36363636363636365,12,0.0,0
