Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid
101.0,2011,San Francisco County,mod,eligible,0.9655172413793104,28,0.0,0,0.034482758620689655,1,0.0,0,608510100
102.0,2011,San Francisco County,high,not eligible,0.0,0,0.9565217391304348,66,0.0,0,0.043478260869565216,3,608510200
103.0,2011,San Francisco County,mid,not eligible,0.0,0,1.0,31,0.0,0,0.0,0,608510300
104.0,2011,San Francisco County,mid,not eligible,0.0,0,0.8333333333333334,55,0.0,0,0.16666666666666666,11,608510400
105.0,2011,San Francisco County,high,not eligible,0.0,0,1.0,30,0.0,0,0.0,0,608510500
106.0,2011,San Francisco County,mod,eligible,0.8125,13,0.0,0,0.1875,3,0.0,0,608510600
107.0,2011,San Francisco County,low,eligible,1.0,5,0.0,0,0.0,0,0.0,0,608510700
108.0,2011,San Francisco County,mod,eligible,0.9090909090909091,30,0.0,0,0.09090909090909091,3,0.0,0,608510800
109.0,2011,San Francisco County,mid,not eligible,0.0,0,0.95,38,0.0,0,0.05,2,608510900
110.0,2011,San Francisco County,mod,eligible,0.7307692307692307,19,0.0,0,0.2692307692307692,7,0.0,0,608511000
111.0,2011,San Francisco County,low,eligible,0.8260869565217391,19,0.0,0,0.17391304347826086,4,0.0,0,608511100
112.0,2011,San Francisco County,mid,not eligible,0.0,0,0.9459459459459459,35,0.0,0,0.05405405405405406,2,608511200
113.0,2011,San Francisco County,low,eligible,0.9285714285714286,13,0.0,0,0.07142857142857142,1,0.0,0,608511300
114.0,2011,San Francisco County,low,eligible,1.0,4,0.0,0,0.0,0,0.0,0,608511400
115.0,2011,San Francisco County,low,eligible,1.0,3,0.0,0,0.0,0,0.0,0,608511500
117.0,2011,San Francisco County,low,eligible,0.7857142857142857,11,0.0,0,0.21428571428571427,3,0.0,0,608511700
118.0,2011,San Francisco County,low,eligible,1.0,1,0.0,0,0.0,0,0.0,0,608511800
119.0,2011,San Francisco County,mod,eligible,0.8222222222222222,37,0.0,0,0.17777777777777778,8,0.0,0,608511900
120.0,2011,San Francisco County,low,eligible,0.8529411764705882,29,0.0,0,0.14705882352941177,5,0.0,0,608512000
121.0,2011,San Francisco County,mod,eligible,0.7727272727272727,17,0.0,0,0.22727272727272727,5,0.0,0,608512100
122.0,2011,San Francisco County,low,eligible,0.7692307692307693,20,0.0,0,0.23076923076923078,6,0.0,0,608512200
123.0,2011,San Francisco County,low,eligible,1.0,6,0.0,0,0.0,0,0.0,0,608512300
124.0,2011,San Francisco County,low,eligible,0.6764705882352942,23,0.0,0,0.3235294117647059,11,0.0,0,608512400
125.0,2011,San Francisco County,low,eligible,0.8,4,0.0,0,0.2,1,0.0,0,608512500
126.0,2011,San Francisco County,high,not eligible,0.0,0,0.9466666666666667,71,0.0,0,0.05333333333333334,4,608512600
127.0,2011,San Francisco County,high,not eligible,0.0,0,0.9696969696969697,32,0.0,0,0.030303030303030304,1,608512700
128.0,2011,San Francisco County,high,not eligible,0.0,0,0.9473684210526315,54,0.0,0,0.05263157894736842,3,608512800
129.0,2011,San Francisco County,mid,not eligible,0.0,0,0.9574468085106383,45,0.0,0,0.0425531914893617,2,608512900
130.0,2011,San Francisco County,high,not eligible,0.0,0,0.9767441860465116,42,0.0,0,0.023255813953488372,1,608513000
131.0,2011,San Francisco County,high,not eligible,0.0,0,0.967741935483871,60,0.0,0,0.03225806451612903,2,608513100
132.0,2011,San Francisco County,high,not eligible,0.0,0,1.0,50,0.0,0,0.0,0,608513200
133.0,2011,San Francisco County,high,not eligible,0.0,0,0.9607843137254902,49,0.0,0,0.0392156862745098,2,608513300
134.0,2011,San Francisco County,high,not eligible,0.0,0,0.975,39,0.0,0,0.025,1,608513400
135.0,2011,San Francisco County,high,not eligible,0.0,0,0.9705882352941176,33,0.0,0,0.029411764705882353,1,608513500
151.0,2011,San Francisco County,mid,not eligible,0.0,0,0.9354838709677419,29,0.0,0,0.06451612903225806,2,608515100
152.0,2011,San Francisco County,mid,not eligible,0.0,0,0.9811320754716981,52,0.0,0,0.018867924528301886,1,608515200
153.0,2011,San Francisco County,high,not eligible,0.0,0,0.9583333333333334,23,0.0,0,0.041666666666666664,1,608515300
154.0,2011,San Francisco County,mid,not eligible,0.0,0,0.9523809523809523,60,0.0,0,0.047619047619047616,3,608515400
155.0,2011,San Francisco County,mod,eligible,0.95,19,0.0,0,0.05,1,0.0,0,608515500
156.0,2011,San Francisco County,mid,not eligible,0.0,0,0.9444444444444444,17,0.0,0,0.05555555555555555,1,608515600
157.0,2011,San Francisco County,mid,not eligible,0.0,0,1.0,64,0.0,0,0.0,0,608515700
158.0,2011,San Francisco County,mod,eligible,0.8666666666666667,39,0.0,0,0.13333333333333333,6,0.0,0,608515800
