Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid
5001.0,2008,Santa Clara County,mod,eligible,0.8546511627906976,147,0.0,0,0.14534883720930233,25,0.0,0,6081500100
5002.0,2008,Santa Clara County,mod,eligible,0.7835051546391752,76,0.0,0,0.21649484536082475,21,0.0,0,6081500200
5003.0,2008,Santa Clara County,mod,eligible,0.9230769230769231,48,0.0,0,0.07692307692307693,4,0.0,0,6081500300
5004.0,2008,Santa Clara County,mid,not eligible,0.0,0,0.96875,31,0.0,0,0.03125,1,6081500400
5005.0,2008,Santa Clara County,mid,not eligible,0.0,0,0.9276315789473685,141,0.0,0,0.07236842105263158,11,6081500500
5006.0,2008,Santa Clara County,mid,not eligible,0.0,0,0.8875,71,0.0,0,0.1125,9,6081500600
5008.0,2008,Santa Clara County,mod,eligible,0.9279279279279279,103,0.0,0,0.07207207207207207,8,0.0,0,6081500800
5009.01,2008,Santa Clara County,mod,eligible,0.9705882352941176,33,0.0,0,0.029411764705882353,1,0.0,0,6081500901
5009.02,2008,Santa Clara County,low,eligible,0.6666666666666666,2,0.0,0,0.3333333333333333,1,0.0,0,6081500902
5010.0,2008,Santa Clara County,low,eligible,0.8651685393258427,77,0.0,0,0.1348314606741573,12,0.0,0,6081501000
5011.0,2008,Santa Clara County,mod,eligible,0.8560606060606061,113,0.0,0,0.14393939393939395,19,0.0,0,6081501100
5012.0,2008,Santa Clara County,mod,eligible,0.8333333333333334,55,0.0,0,0.16666666666666666,11,0.0,0,6081501200
5013.0,2008,Santa Clara County,mid,not eligible,0.0,0,0.9361702127659575,44,0.0,0,0.06382978723404255,3,6081501300
5014.0,2008,Santa Clara County,mod,eligible,0.6086956521739131,42,0.0,0,0.391304347826087,27,0.0,0,6081501400
5015.01,2008,Santa Clara County,mod,eligible,0.4117647058823529,14,0.0,0,0.5882352941176471,20,0.0,0,6081501501
5015.02,2008,Santa Clara County,mod,eligible,0.7391304347826086,51,0.0,0,0.2608695652173913,18,0.0,0,6081501502
5016.0,2008,Santa Clara County,low,eligible,0.8928571428571429,50,0.0,0,0.10714285714285714,6,0.0,0,6081501600
5017.0,2008,Santa Clara County,low,eligible,0.9069767441860465,39,0.0,0,0.09302325581395349,4,0.0,0,6081501700
5018.0,2008,Santa Clara County,mod,eligible,0.8735632183908046,76,0.0,0,0.12643678160919541,11,0.0,0,6081501800
5019.0,2008,Santa Clara County,low,eligible,0.7475409836065574,228,0.0,0,0.25245901639344265,77,0.0,0,6081501900
5020.01,2008,Santa Clara County,mod,eligible,0.7701149425287356,67,0.0,0,0.22988505747126436,20,0.0,0,6081502001
5020.02,2008,Santa Clara County,low,eligible,0.8208955223880597,55,0.0,0,0.1791044776119403,12,0.0,0,6081502002
5021.01,2008,Santa Clara County,mid,not eligible,0.0,0,0.78125,75,0.0,0,0.21875,21,6081502101
5021.02,2008,Santa Clara County,mod,eligible,0.9090909090909091,60,0.0,0,0.09090909090909091,6,0.0,0,6081502102
5022.01,2008,Santa Clara County,mod,eligible,0.6739130434782609,62,0.0,0,0.32608695652173914,30,0.0,0,6081502201
5022.02,2008,Santa Clara County,mid,not eligible,0.0,0,0.8363636363636363,46,0.0,0,0.16363636363636364,9,6081502202
5023.0,2008,Santa Clara County,mid,not eligible,0.0,0,0.9759036144578314,81,0.0,0,0.024096385542168676,2,6081502300
5024.0,2008,Santa Clara County,mid,not eligible,0.0,0,0.9080459770114943,158,0.0,0,0.09195402298850575,16,6081502400
5025.0,2008,Santa Clara County,high,not eligible,0.0,0,0.9696969696969697,128,0.0,0,0.030303030303030304,4,6081502500
5026.01,2008,Santa Clara County,high,not eligible,0.0,0,0.9743589743589743,38,0.0,0,0.02564102564102564,1,6081502601
5026.02,2008,Santa Clara County,mid,not eligible,0.0,0,0.8787878787878788,87,0.0,0,0.12121212121212122,12,6081502602
5027.01,2008,Santa Clara County,mid,not eligible,0.0,0,0.9318181818181818,82,0.0,0,0.06818181818181818,6,6081502701
