Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid
2501.03,2014,Solano County,mid,not eligible,0.0,0,0.7323943661971831,52,0.0,0,0.0,0,6055250103
2501.04,2014,Solano County,high,not eligible,0.0,0,0.8787878787878788,29,0.0,0,0.0,0,6055250104
2501.05,2014,Solano County,high,not eligible,0.0,0,0.8538461538461538,111,0.0,0,0.0,0,6055250105
2501.06,2014,Solano County,high,not eligible,0.0,0,0.9304347826086956,107,0.0,0,0.0,0,6055250106
2502.0,2014,Solano County,mod,eligible,0.6629213483146067,59,0.0,0,0.0,0,0.0,0,6055250200
2503.0,2014,Solano County,mod,eligible,0.6111111111111112,55,0.0,0,0.0,0,0.0,0,6055250300
2504.0,2014,Solano County,mid,not eligible,0.0,0,0.5357142857142857,45,0.0,0,0.0,0,6055250400
2505.01,2014,Solano County,mid,not eligible,0.0,0,0.71875,23,0.0,0,0.0,0,6055250501
2505.02,2014,Solano County,mid,not eligible,0.0,0,0.8933333333333333,67,0.0,0,0.0,0,6055250502
2506.01,2014,Solano County,mid,not eligible,0.0,0,0.5647058823529412,48,0.0,0,0.0,0,6055250601
2506.04,2014,Solano County,high,not eligible,0.0,0,0.9148936170212766,86,0.0,0,0.0,0,6055250604
2506.05,2014,Solano County,high,not eligible,0.0,0,0.896551724137931,52,0.0,0,0.0,0,6055250605
2507.01,2014,Solano County,mod,eligible,0.42857142857142855,24,0.0,0,0.0,0,0.0,0,6055250701
2508.01,2014,Solano County,mod,eligible,0.8260869565217391,38,0.0,0,0.0,0,0.0,0,6055250801
2509.0,2014,Solano County,low,eligible,0.6896551724137931,20,0.0,0,0.0,0,0.0,0,6055250900
2510.0,2014,Solano County,low,eligible,0.5909090909090909,13,0.0,0,0.0,0,0.0,0,6055251000
2511.0,2014,Solano County,mod,eligible,0.5102040816326531,25,0.0,0,0.0,0,0.0,0,6055251100
2512.0,2014,Solano County,mod,eligible,0.49056603773584906,26,0.0,0,0.0,0,0.0,0,6055251200
2513.0,2014,Solano County,mid,not eligible,0.0,0,0.6984126984126984,44,0.0,0,0.0,0,6055251300
2514.0,2014,Solano County,mid,not eligible,0.0,0,0.7363636363636363,81,0.0,0,0.0,0,6055251400
2515.0,2014,Solano County,mod,eligible,0.5185185185185185,28,0.0,0,0.0,0,0.0,0,6055251500
2516.0,2014,Solano County,mod,eligible,0.631578947368421,24,0.0,0,0.0,0,0.0,0,6055251600
2517.01,2014,Solano County,mod,eligible,0.59375,38,0.0,0,0.0,0,0.0,0,6055251701
2517.02,2014,Solano County,mid,not eligible,0.0,0,0.6065573770491803,37,0.0,0,0.0,0,6055251702
2518.02,2014,Solano County,mod,eligible,0.3333333333333333,4,0.0,0,0.0,0,0.0,0,6055251802
2518.03,2014,Solano County,mid,not eligible,0.0,0,0.5645161290322581,35,0.0,0,0.0,0,6055251803
2518.04,2014,Solano County,mid,not eligible,0.0,0,0.5952380952380952,25,0.0,0,0.0,0,6055251804
2519.01,2014,Solano County,mid,not eligible,0.0,0,0.6271186440677966,37,0.0,0,0.0,0,6055251901
2519.02,2014,Solano County,mid,not eligible,0.0,0,0.4603174603174603,29,0.0,0,0.0,0,6055251902
2519.03,2014,Solano County,mid,not eligible,0.0,0,0.5416666666666666,39,0.0,0,0.0,0,6055251903
2520.0,2014,Solano County,mid,not eligible,0.0,0,0.8831168831168831,68,0.0,0,0.0,0,6055252000
2521.02,2014,Solano County,mid,not eligible,0.0,0,0.8035714285714286,45,0.0,0,0.0,0,6055252102
2521.03,2014,Solano County,mid,not eligible,0.0,0,0.9,63,0.0,0,0.0,0,6055252103
2521.04,2014,Solano County,high,not eligible,0.0,0,0.967032967032967,88,0.0,0,0.0,0,6055252104
2521.05,2014,Solano County,high,not eligible,0.0,0,0.9152542372881356,54,0.0,0,0.0,0,6055252105
2521.06,2014,Solano County,mid,not eligible,0.0,0,0.7959183673469388,39,0.0,0,0.0,0,6055252106
2521.07,2014,Solano County,mid,not eligible,0.0,0,0.9166666666666666,55,0.0,0,0.0,0,6055252107
2521.08,2014,Solano County,high,not eligible,0.0,0,0.8918918918918919,33,0.0,0,0.0,0,6055252108
2522.01,2014,Solano County,high,not eligible,0.0,0,0.9427480916030534,247,0.0,0,0.0,0,6055252201
2522.02,2014,Solano County,high,not eligible,0.0,0,0.8857142857142857,217,0.0,0,0.0,0,6055252202
2523.05,2014,Solano County,high,not eligible,0.0,0,0.9166666666666666,88,0.0,0,0.0,0,6055252305
2523.06,2014,Solano County,mid,not eligible,0.0,0,0.8823529411764706,60,0.0,0,0.0,0,6055252306
2523.1,2014,Solano County,high,not eligible,0.0,0,1.0,66,0.0,0,0.0,0,6055252310
2523.11,2014,Solano County,high,not eligible,0.0,0,0.9047619047619048,76,0.0,0,0.0,0,6055252311
2523.12,2014,Solano County,mid,not eligible,0.0,0,0.7755102040816326,38,0.0,0,0.0,0,6055252312
