,Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract"
0,1501.0,2008,Sonoma County,mid,not eligible,0.0,0,0.9615384615384616,25,0.0,0,0.038461538461538464,1
1,1502.01,2008,Sonoma County,mid,not eligible,0.0,0,0.8896103896103896,137,0.0,0,0.11038961038961038,17
2,1502.02,2008,Sonoma County,mid,not eligible,0.0,0,0.9230769230769231,96,0.0,0,0.07692307692307693,8
3,1503.02,2008,Sonoma County,mod,eligible,0.7857142857142857,99,0.0,0,0.21428571428571427,27,0.0,0
4,1503.03,2008,Sonoma County,mid,not eligible,0.0,0,0.8805970149253731,59,0.0,0,0.11940298507462686,8
5,1503.04,2008,Sonoma County,mid,not eligible,0.0,0,0.8137254901960784,83,0.0,0,0.18627450980392157,19
6,1505.0,2008,Sonoma County,mid,not eligible,0.0,0,0.9213483146067416,82,0.0,0,0.07865168539325842,7
7,1506.01,2008,Sonoma County,mid,not eligible,0.0,0,0.8571428571428571,66,0.0,0,0.14285714285714285,11
8,1506.02,2008,Sonoma County,mid,not eligible,0.0,0,0.8852459016393442,108,0.0,0,0.11475409836065574,14
9,1506.03,2008,Sonoma County,mid,not eligible,0.0,0,0.8757396449704142,148,0.0,0,0.1242603550295858,21
10,1506.05,2008,Sonoma County,high,not eligible,0.0,0,0.9128919860627178,262,0.0,0,0.08710801393728224,25
11,1506.06,2008,Sonoma County,high,not eligible,0.0,0,0.9210526315789473,140,0.0,0,0.07894736842105263,12
12,1507.01,2008,Sonoma County,mid,not eligible,0.0,0,0.8941176470588236,76,0.0,0,0.10588235294117647,9
13,1507.02,2008,Sonoma County,high,not eligible,0.0,0,0.9452054794520548,69,0.0,0,0.0547945205479452,4
14,1508.0,2008,Sonoma County,mid,not eligible,0.0,0,0.9193548387096774,57,0.0,0,0.08064516129032258,5
15,1509.01,2008,Sonoma County,mid,not eligible,0.0,0,0.8157894736842105,93,0.0,0,0.18421052631578946,21
16,1509.02,2008,Sonoma County,mid,not eligible,0.0,0,0.8787878787878788,58,0.0,0,0.12121212121212122,8
17,1510.0,2008,Sonoma County,mid,not eligible,0.0,0,0.9117647058823529,31,0.0,0,0.08823529411764706,3
18,1511.0,2008,Sonoma County,mid,not eligible,0.0,0,0.9285714285714286,39,0.0,0,0.07142857142857142,3
19,1512.01,2008,Sonoma County,mid,not eligible,0.0,0,0.6666666666666666,54,0.0,0,0.3333333333333333,27
20,1512.03,2008,Sonoma County,mid,not eligible,0.0,0,0.75,84,0.0,0,0.25,28
21,1512.04,2008,Sonoma County,mid,not eligible,0.0,0,0.7777777777777778,42,0.0,0,0.2222222222222222,12
22,1513.01,2008,Sonoma County,mid,not eligible,0.0,0,0.6923076923076923,63,0.0,0,0.3076923076923077,28
23,1513.05,2008,Sonoma County,mod,eligible,0.5858585858585859,58,0.0,0,0.41414141414141414,41,0.0,0
24,1513.06,2008,Sonoma County,mid,not eligible,0.0,0,0.7383177570093458,79,0.0,0,0.2616822429906542,28
25,1513.07,2008,Sonoma County,mid,not eligible,0.0,0,0.8861788617886179,109,0.0,0,0.11382113821138211,14
26,1513.08,2008,Sonoma County,mid,not eligible,0.0,0,0.93,93,0.0,0,0.07,7
27,1513.09,2008,Sonoma County,high,not eligible,0.0,0,0.6916666666666667,83,0.0,0,0.30833333333333335,37
28,1513.1,2008,Sonoma County,mid,not eligible,0.0,0,0.8076923076923077,42,0.0,0,0.19230769230769232,10
29,1513.11,2008,Sonoma County,mid,not eligible,0.0,0,0.7762237762237763,111,0.0,0,0.22377622377622378,32
30,1514.01,2008,Sonoma County,mid,not eligible,0.0,0,0.7389162561576355,150,0.0,0,0.26108374384236455,53
31,1514.02,2008,Sonoma County,mod,eligible,0.6643835616438356,97,0.0,0,0.3356164383561644,49,0.0,0
32,1515.02,2008,Sonoma County,mid,not eligible,0.0,0,0.8076923076923077,105,0.0,0,0.19230769230769232,25
33,1515.03,2008,Sonoma County,high,not eligible,0.0,0,0.9811320754716981,52,0.0,0,0.018867924528301886,1
34,1515.04,2008,Sonoma County,mid,not eligible,0.0,0,0.8333333333333334,65,0.0,0,0.16666666666666666,13
35,1516.0,2008,Sonoma County,mid,not eligible,0.0,0,0.8268156424581006,148,0.0,0,0.17318435754189945,31
36,1517.0,2008,Sonoma County,mid,not eligible,0.0,0,0.8241758241758241,75,0.0,0,0.17582417582417584,16
37,1518.0,2008,Sonoma County,mid,not eligible,0.0,0,0.8524590163934426,104,0.0,0,0.14754098360655737,18
38,1519.0,2008,Sonoma County,mod,eligible,0.8163265306122449,40,0.0,0,0.1836734693877551,9,0.0,0
39,1520.0,2008,Sonoma County,mod,eligible,0.95,19,0.0,0,0.05,1,0.0,0
40,1521.0,2008,Sonoma County,mod,eligible,0.8214285714285714,46,0.0,0,0.17857142857142858,10,0.0,0
41,1522.01,2008,Sonoma County,mid,not eligible,0.0,0,0.8076923076923077,42,0.0,0,0.19230769230769232,10
42,1522.02,2008,Sonoma County,mid,not eligible,0.0,0,0.8102189781021898,111,0.0,0,0.1897810218978102,26
43,1522.03,2008,Sonoma County,mid,not eligible,0.0,0,0.8235294117647058,28,0.0,0,0.17647058823529413,6
44,1523.0,2008,Sonoma County,high,not eligible,0.0,0,0.935064935064935,72,0.0,0,0.06493506493506493,5
45,1524.0,2008,Sonoma County,high,not eligible,0.0,0,0.967741935483871,270,0.0,0,0.03225806451612903,9
46,1525.01,2008,Sonoma County,mid,not eligible,0.0,0,0.9090909090909091,80,0.0,0,0.09090909090909091,8
47,1525.02,2008,Sonoma County,mid,not eligible,0.0,0,0.8076923076923077,42,0.0,0,0.19230769230769232,10
48,1526.0,2008,Sonoma County,high,not eligible,0.0,0,0.910958904109589,133,0.0,0,0.08904109589041095,13
49,1527.01,2008,Sonoma County,mid,not eligible,0.0,0,0.826530612244898,81,0.0,0,0.17346938775510204,17
50,1527.02,2008,Sonoma County,mid,not eligible,0.0,0,0.752,94,0.0,0,0.248,31
51,1528.01,2008,Sonoma County,high,not eligible,0.0,0,0.8201058201058201,155,0.0,0,0.17989417989417988,34
52,1528.02,2008,Sonoma County,mod,eligible,0.5,55,0.0,0,0.5,55,0.0,0
53,1529.01,2008,Sonoma County,mid,not eligible,0.0,0,0.8893129770992366,233,0.0,0,0.11068702290076336,29
54,1529.03,2008,Sonoma County,mid,not eligible,0.0,0,0.5428571428571428,76,0.0,0,0.45714285714285713,64
55,1529.04,2008,Sonoma County,mid,not eligible,0.0,0,0.8547008547008547,100,0.0,0,0.1452991452991453,17
56,1530.01,2008,Sonoma County,mid,not eligible,0.0,0,0.671875,86,0.0,0,0.328125,42
57,1530.02,2008,Sonoma County,mod,eligible,0.4928909952606635,104,0.0,0,0.5071090047393365,107,0.0,0
58,1530.03,2008,Sonoma County,mid,not eligible,0.0,0,0.6745562130177515,114,0.0,0,0.3254437869822485,55
59,1530.05,2008,Sonoma County,mid,not eligible,0.0,0,0.7378640776699029,152,0.0,0,0.2621359223300971,54
60,1530.06,2008,Sonoma County,mid,not eligible,0.0,0,0.6934673366834171,138,0.0,0,0.3065326633165829,61
61,1531.01,2008,Sonoma County,mod,eligible,0.5869565217391305,108,0.0,0,0.41304347826086957,76,0.0,0
62,1531.02,2008,Sonoma County,mod,eligible,0.584,73,0.0,0,0.416,52,0.0,0
63,1532.0,2008,Sonoma County,mid,not eligible,0.0,0,0.7964912280701755,227,0.0,0,0.20350877192982456,58
64,1533.0,2008,Sonoma County,mid,not eligible,0.0,0,0.7108433734939759,295,0.0,0,0.2891566265060241,120
65,1534.01,2008,Sonoma County,mid,not eligible,0.0,0,0.8625,69,0.0,0,0.1375,11
66,1534.03,2008,Sonoma County,mid,not eligible,0.0,0,0.8222222222222222,37,0.0,0,0.17777777777777778,8
67,1534.04,2008,Sonoma County,mid,not eligible,0.0,0,0.8611111111111112,31,0.0,0,0.1388888888888889,5
68,1535.01,2008,Sonoma County,high,not eligible,0.0,0,0.8478260869565217,39,0.0,0,0.15217391304347827,7
69,1535.02,2008,Sonoma County,mid,not eligible,0.0,0,0.8269230769230769,43,0.0,0,0.17307692307692307,9
70,1536.0,2008,Sonoma County,mid,not eligible,0.0,0,0.9318181818181818,41,0.0,0,0.06818181818181818,3
71,1537.03,2008,Sonoma County,mod,eligible,0.7938144329896907,77,0.0,0,0.20618556701030927,20,0.0,0
72,1537.04,2008,Sonoma County,mod,eligible,0.7582417582417582,69,0.0,0,0.24175824175824176,22,0.0,0
73,1537.05,2008,Sonoma County,mid,not eligible,0.0,0,0.7391304347826086,34,0.0,0,0.2608695652173913,12
74,1537.06,2008,Sonoma County,mid,not eligible,0.0,0,0.7352941176470589,50,0.0,0,0.2647058823529412,18
75,1538.01,2008,Sonoma County,mid,not eligible,0.0,0,0.9173553719008265,222,0.0,0,0.08264462809917356,20
76,1538.02,2008,Sonoma County,high,not eligible,0.0,0,0.7723880597014925,207,0.0,0,0.22761194029850745,61
77,1538.03,2008,Sonoma County,mid,not eligible,0.0,0,0.8016877637130801,190,0.0,0,0.19831223628691982,47
78,1539.01,2008,Sonoma County,mid,not eligible,0.0,0,0.8690476190476191,73,0.0,0,0.13095238095238096,11
79,1539.02,2008,Sonoma County,mid,not eligible,0.0,0,0.7428571428571429,52,0.0,0,0.2571428571428571,18
80,1539.03,2008,Sonoma County,mid,not eligible,0.0,0,0.9583333333333334,46,0.0,0,0.041666666666666664,2
81,1540.0,2008,Sonoma County,mid,not eligible,0.0,0,0.9444444444444444,17,0.0,0,0.05555555555555555,1
82,1541.0,2008,Sonoma County,mid,not eligible,0.0,0,1.0,32,0.0,0,0.0,0
83,1542.0,2008,Sonoma County,mid,not eligible,0.0,0,0.7544642857142857,169,0.0,0,0.24553571428571427,55
84,1543.01,2008,Sonoma County,mid,not eligible,0.0,0,0.9514563106796117,98,0.0,0,0.04854368932038835,5
85,1543.02,2008,Sonoma County,mid,not eligible,0.0,0,0.9830508474576272,58,0.0,0,0.01694915254237288,1
