Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid
1501.0,2013,Sonoma County,high,not eligible,0.0,0,0.9629629629629629,26,0.0,0,0.037037037037037035,1,6041150100
1502.02,2013,Sonoma County,high,not eligible,0.0,0,0.9090909090909091,80,0.0,0,0.09090909090909091,8,6041150202
1502.03,2013,Sonoma County,mid,not eligible,0.0,0,0.9043478260869565,104,0.0,0,0.09565217391304348,11,6041150203
1502.04,2013,Sonoma County,high,not eligible,0.0,0,0.9550561797752809,85,0.0,0,0.0449438202247191,4,6041150204
1503.03,2013,Sonoma County,mid,not eligible,0.0,0,0.7542372881355932,89,0.0,0,0.2457627118644068,29,6041150303
1503.04,2013,Sonoma County,mod,eligible,0.9222222222222223,83,0.0,0,0.07777777777777778,7,0.0,0,6041150304
1503.05,2013,Sonoma County,mod,eligible,0.7903225806451613,49,0.0,0,0.20967741935483872,13,0.0,0,6041150305
1503.06,2013,Sonoma County,mid,not eligible,0.0,0,0.8901098901098901,81,0.0,0,0.10989010989010989,10,6041150306
1505.0,2013,Sonoma County,high,not eligible,0.0,0,0.9871794871794872,77,0.0,0,0.01282051282051282,1,6041150500
1506.01,2013,Sonoma County,mid,not eligible,0.0,0,0.84375,54,0.0,0,0.15625,10,6041150601
1506.02,2013,Sonoma County,mid,not eligible,0.0,0,0.8260869565217391,57,0.0,0,0.17391304347826086,12,6041150602
1506.03,2013,Sonoma County,mid,not eligible,0.0,0,0.8495575221238938,96,0.0,0,0.1504424778761062,17,6041150603
1506.07,2013,Sonoma County,high,not eligible,0.0,0,0.9506172839506173,77,0.0,0,0.04938271604938271,4,6041150607
1506.09,2013,Sonoma County,mid,not eligible,0.0,0,0.7051282051282052,55,0.0,0,0.2948717948717949,23,6041150609
1506.1,2013,Sonoma County,high,not eligible,0.0,0,0.8301886792452831,44,0.0,0,0.16981132075471697,9,6041150610
1506.11,2013,Sonoma County,high,not eligible,0.0,0,0.9489795918367347,93,0.0,0,0.05102040816326531,5,6041150611
1506.12,2013,Sonoma County,high,not eligible,0.0,0,0.8604651162790697,37,0.0,0,0.13953488372093023,6,6041150612
1507.01,2013,Sonoma County,mid,not eligible,0.0,0,0.9154929577464789,65,0.0,0,0.08450704225352113,6,6041150701
1507.02,2013,Sonoma County,high,not eligible,0.0,0,0.9701492537313433,130,0.0,0,0.029850746268656716,4,6041150702
1508.0,2013,Sonoma County,mid,not eligible,0.0,0,0.9365079365079365,59,0.0,0,0.06349206349206349,4,6041150800
1509.01,2013,Sonoma County,mid,not eligible,0.0,0,0.734375,47,0.0,0,0.265625,17,6041150901
1509.02,2013,Sonoma County,high,not eligible,0.0,0,0.9692307692307692,63,0.0,0,0.03076923076923077,2,6041150902
1510.0,2013,Sonoma County,high,not eligible,0.0,0,0.9555555555555556,43,0.0,0,0.044444444444444446,2,6041151000
1511.0,2013,Sonoma County,mid,not eligible,0.0,0,0.9361702127659575,44,0.0,0,0.06382978723404255,3,6041151100
1512.01,2013,Sonoma County,mod,eligible,0.691358024691358,56,0.0,0,0.30864197530864196,25,0.0,0,6041151201
1512.03,2013,Sonoma County,mid,not eligible,0.0,0,0.7397260273972602,54,0.0,0,0.2602739726027397,19,6041151203
1512.04,2013,Sonoma County,mid,not eligible,0.0,0,0.6933333333333334,52,0.0,0,0.30666666666666664,23,6041151204
1513.01,2013,Sonoma County,mid,not eligible,0.0,0,0.7073170731707317,29,0.0,0,0.2926829268292683,12,6041151301
1513.05,2013,Sonoma County,mod,eligible,0.696969696969697,46,0.0,0,0.30303030303030304,20,0.0,0,6041151305
1513.06,2013,Sonoma County,mid,not eligible,0.0,0,0.5925925925925926,48,0.0,0,0.4074074074074074,33,6041151306
1513.07,2013,Sonoma County,mid,not eligible,0.0,0,0.8452380952380952,71,0.0,0,0.15476190476190477,13,6041151307
1513.08,2013,Sonoma County,mid,not eligible,0.0,0,0.8,44,0.0,0,0.2,11,6041151308
1513.09,2013,Sonoma County,mid,not eligible,0.0,0,0.7872340425531915,74,0.0,0,0.2127659574468085,20,6041151309
1513.1,2013,Sonoma County,mid,not eligible,0.0,0,0.7045454545454546,31,0.0,0,0.29545454545454547,13,6041151310
1513.11,2013,Sonoma County,mid,not eligible,0.0,0,0.8297872340425532,78,0.0,0,0.1702127659574468,16,6041151311
1514.01,2013,Sonoma County,mod,eligible,0.7486910994764397,143,0.0,0,0.2513089005235602,48,0.0,0,6041151401
1514.02,2013,Sonoma County,mod,eligible,0.4946236559139785,46,0.0,0,0.5053763440860215,47,0.0,0,6041151402
1515.02,2013,Sonoma County,mid,not eligible,0.0,0,0.8699186991869918,107,0.0,0,0.13008130081300814,16,6041151502
1515.03,2013,Sonoma County,high,not eligible,0.0,0,0.9857142857142858,69,0.0,0,0.014285714285714285,1,6041151503
1515.04,2013,Sonoma County,high,not eligible,0.0,0,0.9420289855072463,65,0.0,0,0.057971014492753624,4,6041151504
1516.01,2013,Sonoma County,mid,not eligible,0.0,0,0.8305084745762712,98,0.0,0,0.1694915254237288,20,6041151601
1516.02,2013,Sonoma County,mid,not eligible,0.0,0,0.8585858585858586,85,0.0,0,0.1414141414141414,14,6041151602
1517.0,2013,Sonoma County,mid,not eligible,0.0,0,0.8863636363636364,78,0.0,0,0.11363636363636363,10,6041151700
1518.0,2013,Sonoma County,mid,not eligible,0.0,0,0.8987341772151899,71,0.0,0,0.10126582278481013,8,6041151800
1519.0,2013,Sonoma County,mid,not eligible,0.0,0,0.875,35,0.0,0,0.125,5,6041151900
1520.0,2013,Sonoma County,low,eligible,0.7272727272727273,24,0.0,0,0.2727272727272727,9,0.0,0,6041152000
1521.0,2013,Sonoma County,mod,eligible,0.8108108108108109,30,0.0,0,0.1891891891891892,7,0.0,0,6041152100
1522.01,2013,Sonoma County,mod,eligible,0.7368421052631579,28,0.0,0,0.2631578947368421,10,0.0,0,6041152201
1522.02,2013,Sonoma County,mod,eligible,0.75,90,0.0,0,0.25,30,0.0,0,6041152202
1522.03,2013,Sonoma County,mid,not eligible,0.0,0,0.8695652173913043,40,0.0,0,0.13043478260869565,6,6041152203
1523.0,2013,Sonoma County,mid,not eligible,0.0,0,0.8876404494382022,79,0.0,0,0.11235955056179775,10,6041152300
1524.0,2013,Sonoma County,high,not eligible,0.0,0,0.9506726457399103,212,0.0,0,0.04932735426008968,11,6041152400
1525.01,2013,Sonoma County,mid,not eligible,0.0,0,0.8125,52,0.0,0,0.1875,12,6041152501
1525.02,2013,Sonoma County,mid,not eligible,0.0,0,0.6666666666666666,36,0.0,0,0.3333333333333333,18,6041152502
1526.0,2013,Sonoma County,high,not eligible,0.0,0,0.9461077844311377,158,0.0,0,0.05389221556886228,9,6041152600
1527.01,2013,Sonoma County,high,not eligible,0.0,0,0.8059701492537313,54,0.0,0,0.19402985074626866,13,6041152701
1527.02,2013,Sonoma County,mid,not eligible,0.0,0,0.8352941176470589,71,0.0,0,0.16470588235294117,14,6041152702
1528.01,2013,Sonoma County,mid,not eligible,0.0,0,0.680327868852459,83,0.0,0,0.319672131147541,39,6041152801
1528.02,2013,Sonoma County,mod,eligible,0.6078431372549019,31,0.0,0,0.39215686274509803,20,0.0,0,6041152802
1529.03,2013,Sonoma County,mod,eligible,0.589041095890411,43,0.0,0,0.410958904109589,30,0.0,0,6041152903
1529.04,2013,Sonoma County,mid,not eligible,0.0,0,0.8767123287671232,64,0.0,0,0.1232876712328767,9,6041152904
1529.05,2013,Sonoma County,mid,not eligible,0.0,0,0.7894736842105263,45,0.0,0,0.21052631578947367,12,6041152905
1529.06,2013,Sonoma County,mid,not eligible,0.0,0,0.8888888888888888,56,0.0,0,0.1111111111111111,7,6041152906
1530.01,2013,Sonoma County,mod,eligible,0.7049180327868853,43,0.0,0,0.29508196721311475,18,0.0,0,6041153001
1530.02,2013,Sonoma County,mod,eligible,0.4696969696969697,31,0.0,0,0.5303030303030303,35,0.0,0,6041153002
1530.03,2013,Sonoma County,mod,eligible,0.6057692307692307,63,0.0,0,0.3942307692307692,41,0.0,0,6041153003
1530.05,2013,Sonoma County,mid,not eligible,0.0,0,0.8230088495575221,93,0.0,0,0.17699115044247787,20,6041153005
1530.06,2013,Sonoma County,mid,not eligible,0.0,0,0.6886792452830188,73,0.0,0,0.3113207547169811,33,6041153006
1531.02,2013,Sonoma County,mod,eligible,0.5636363636363636,31,0.0,0,0.43636363636363634,24,0.0,0,6041153102
1531.03,2013,Sonoma County,mid,not eligible,0.0,0,0.75,36,0.0,0,0.25,12,6041153103
