Place Name,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,FIPS state,Period
Alameda city,0.25752290856720594,7.946666666666666,0.6798900415565109,43.61333333333334,0.02247709143279405,0.64,0.04010995844348905,2.4,6.0,1.0,6.0,recovery 2013-2017
Alamo CDP,0.0,0.0,0.9881952899616795,100.8,0.0,0.0,0.011804710038320516,1.08,6.0,13.0,6.0,recovery 2013-2017
Albany city,0.038461538461538464,0.038461538461538464,0.9287265603107332,35.46153846153846,0.0,0.0,0.03281190122772853,2.076923076923077,6.0,1.0,6.0,recovery 2013-2017
Alum Rock CDP,0.7763734084920251,50.72,0.0,0.0,0.22362659150797484,14.16,0.0,0.0,6.0,85.0,6.0,recovery 2013-2017
Angwin CDP,0.0,0.0,0.9364618877185176,54.8,0.0,0.0,0.06353811228148257,3.8,6.0,55.0,6.0,recovery 2013-2017
Antioch city,0.35740173263245273,39.46666666666667,0.22014508505047486,31.166666666666668,0.3425982673675473,33.583333333333336,0.07985491494952518,10.383333333333333,6.0,13.0,6.0,recovery 2013-2017
Ashland CDP,0.6524310947170503,39.46666666666667,0.09973469585012315,5.133333333333334,0.21423557194961623,12.933333333333334,0.033598637483210174,1.6333333333333333,6.0,1.0,6.0,recovery 2013-2017
Atherton town,0.0,0.0,0.9844703091431873,44.0,0.0,0.0,0.015529690856812769,0.5333333333333333,6.0,81.0,6.0,recovery 2013-2017
Bay Point CDP,0.3012111701341995,25.466666666666665,0.262501801412932,67.1,0.3654554965324671,29.866666666666667,0.07083153192040136,10.566666666666666,6.0,13.0,6.0,recovery 2013-2017
Bayview-Montalvin CDP,0.17105263157894737,13.0,0.5588797220751065,47.0,0.02894736842105263,2.2,0.24112027792489354,20.4,6.0,13.0,6.0,recovery 2013-2017
Belmont city,0.0,0.0,0.9865564748570718,61.53333333333333,0.0,0.0,0.013443525142928145,0.7333333333333333,6.0,81.0,6.0,recovery 2013-2017
Belvedere city,0.0,0.0,1.0,73.4,0.0,0.0,0.0,0.0,6.0,41.0,6.0,recovery 2013-2017
Benicia city,0.0,0.0,0.8982441760127895,78.075,0.0,0.0,0.1017558239872105,7.75,6.0,95.0,6.0,recovery 2013-2017
Berkeley city,0.3301734607447185,7.07361963190184,0.6367902034587508,18.319018404907975,0.013384821463870383,0.3374233128834356,0.019651514332660196,0.5460122699386503,6.0,1.0,6.0,recovery 2013-2017
Bethel Island CDP,0.14743589743589744,23.0,0.6597488412635798,158.0,0.052564102564102565,8.2,0.14025115873642027,33.2,6.0,13.0,6.0,recovery 2013-2017
Black Point-Green Point CDP,0.0,0.0,0.9068095037057885,48.2,0.0,0.0,0.09319049629421146,5.0,6.0,41.0,6.0,recovery 2013-2017
Bodega Bay CDP,0.0,0.0,0.9467089824809648,88.8,0.0,0.0,0.053291017519035186,5.0,6.0,97.0,6.0,recovery 2013-2017
Bolinas CDP,0.7742439024390244,23.2,0.175,4.2,0.025756097560975612,0.8,0.025,0.6,6.0,41.0,6.0,recovery 2013-2017
