county,tract,FIPS state,placefp,State Postal Code,cntyname,Place Name,"Total Hsg. Units, 2000 census",tract to placefp allocation factor
6001,4001,6,53000,CA,Alameda CA,Oakland city,1177,1
6001,4002,6,53000,CA,Alameda CA,Oakland city,873,1
6001,4003,6,53000,CA,Alameda CA,Oakland city,2567,1
6001,4004,6,53000,CA,Alameda CA,Oakland city,1880,1
6001,4005,6,53000,CA,Alameda CA,Oakland city,1592,1
6001,4006,6,53000,CA,Alameda CA,Oakland city,746,1
6001,4007,6,53000,CA,Alameda CA,Oakland city,1901,1
6001,4008,6,53000,CA,Alameda CA,Oakland city,1420,1
6001,4009,6,53000,CA,Alameda CA,Oakland city,1116,1
6001,4010,6,53000,CA,Alameda CA,Oakland city,2475,1
6001,4011,6,53000,CA,Alameda CA,Oakland city,2039,1
6001,4012,6,53000,CA,Alameda CA,Oakland city,1237,1
6001,4013,6,53000,CA,Alameda CA,Oakland city,1454,1
6001,4014,6,53000,CA,Alameda CA,Oakland city,1681,1
6001,4015,6,53000,CA,Alameda CA,Oakland city,1026,1
6001,4016,6,53000,CA,Alameda CA,Oakland city,668,1
6001,4017,6,53000,CA,Alameda CA,Oakland city,645,1
6001,4018,6,53000,CA,Alameda CA,Oakland city,754,1
6001,4019,6,53000,CA,Alameda CA,Oakland city,244,1
6001,4020,6,53000,CA,Alameda CA,Oakland city,12,1
6001,4021,6,53000,CA,Alameda CA,Oakland city,715,1
6001,4022,6,53000,CA,Alameda CA,Oakland city,656,1
6001,4023,6,53000,CA,Alameda CA,Oakland city,179,1
6001,4024,6,53000,CA,Alameda CA,Oakland city,1141,1
6001,4025,6,53000,CA,Alameda CA,Oakland city,711,1
6001,4026,6,53000,CA,Alameda CA,Oakland city,506,1
6001,4027,6,53000,CA,Alameda CA,Oakland city,713,1
6001,4028,6,53000,CA,Alameda CA,Oakland city,1356,1
6001,4029,6,53000,CA,Alameda CA,Oakland city,921,1
6001,4030,6,53000,CA,Alameda CA,Oakland city,1551,1
6001,4031,6,53000,CA,Alameda CA,Oakland city,480,1
6001,4032,6,53000,CA,Alameda CA,Oakland city,47,1
6001,4033,6,53000,CA,Alameda CA,Oakland city,957,1
6001,4034,6,53000,CA,Alameda CA,Oakland city,2518,1
6001,4035,6,53000,CA,Alameda CA,Oakland city,3800,1
6001,4036,6,53000,CA,Alameda CA,Oakland city,2671,1
6001,4037,6,53000,CA,Alameda CA,Oakland city,3297,1
6001,4038,6,53000,CA,Alameda CA,Oakland city,1945,1
6001,4039,6,53000,CA,Alameda CA,Oakland city,2257,1
6001,4040,6,53000,CA,Alameda CA,Oakland city,1832,1
6001,4041,6,53000,CA,Alameda CA,Oakland city,3474,1
6001,4042,6,53000,CA,Alameda CA,Oakland city,1374,1
6001,4043,6,53000,CA,Alameda CA,Oakland city,1336,1
6001,4044,6,53000,CA,Alameda CA,Oakland city,2163,1
6001,4045.01,6,53000,CA,Alameda CA,Oakland city,685,1
6001,4045.02,6,53000,CA,Alameda CA,Oakland city,2412,1
6001,4046,6,53000,CA,Alameda CA,Oakland city,1782,1
6001,4047,6,53000,CA,Alameda CA,Oakland city,809,1
6001,4048,6,53000,CA,Alameda CA,Oakland city,1272,1
6001,4049,6,53000,CA,Alameda CA,Oakland city,2023,1
6001,4050,6,53000,CA,Alameda CA,Oakland city,1604,1
6001,4051,6,53000,CA,Alameda CA,Oakland city,1614,1
6001,4052,6,53000,CA,Alameda CA,Oakland city,2570,1
6001,4053,6,53000,CA,Alameda CA,Oakland city,3155,1
6001,4054,6,53000,CA,Alameda CA,Oakland city,2910,1
6001,4055,6,53000,CA,Alameda CA,Oakland city,1623,1
6001,4056,6,53000,CA,Alameda CA,Oakland city,1484,1
6001,4057,6,53000,CA,Alameda CA,Oakland city,1396,1
6001,4058,6,53000,CA,Alameda CA,Oakland city,1357,1
6001,4059,6,53000,CA,Alameda CA,Oakland city,2132,1
6001,4060,6,53000,CA,Alameda CA,Oakland city,1389,1
6001,4061,6,53000,CA,Alameda CA,Oakland city,1271,1
