Geoid,Tract,Year,type,County,CRA Eligible
6013301000,3010.0,2015,mid,Contra Costa County,not eligible
6013302005,3020.05,2015,mid,Contra Costa County,not eligible
6013302006,3020.06,2015,mid,Contra Costa County,not eligible
6013302007,3020.07,2015,mid,Contra Costa County,not eligible
6013302008,3020.08,2015,mid,Contra Costa County,not eligible
6013302009,3020.09,2015,mid,Contra Costa County,not eligible
6013302010,3020.1,2015,mid,Contra Costa County,not eligible
6013303102,3031.02,2015,mid,Contra Costa County,not eligible
6013303103,3031.03,2015,mid,Contra Costa County,not eligible
6013303201,3032.01,2015,mid,Contra Costa County,not eligible
6013303202,3032.02,2015,high,Contra Costa County,not eligible
6013303203,3032.03,2015,high,Contra Costa County,not eligible
6013303204,3032.04,2015,mid,Contra Costa County,not eligible
6013303205,3032.05,2015,mid,Contra Costa County,not eligible
6013304001,3040.01,2015,high,Contra Costa County,not eligible
6013304002,3040.02,2015,mod,Contra Costa County,eligible
6013304003,3040.03,2015,mid,Contra Costa County,not eligible
6013304004,3040.04,2015,high,Contra Costa County,not eligible
6013304005,3040.05,2015,mid,Contra Costa County,not eligible
6013305000,3050.0,2015,low,Contra Costa County,eligible
6013306002,3060.02,2015,mod,Contra Costa County,eligible
6013306003,3060.03,2015,mod,Contra Costa County,eligible
6013306004,3060.04,2015,mod,Contra Costa County,eligible
6013307101,3071.01,2015,mid,Contra Costa County,not eligible
6013307102,3071.02,2015,mod,Contra Costa County,eligible
6013307201,3072.01,2015,low,Contra Costa County,eligible
6013307202,3072.02,2015,low,Contra Costa County,eligible
6013307204,3072.04,2015,mod,Contra Costa County,eligible
6013307205,3072.05,2015,mod,Contra Costa County,eligible
6013308001,3080.01,2015,mod,Contra Costa County,eligible
6013308002,3080.02,2015,mid,Contra Costa County,not eligible
6013309000,3090.0,2015,mid,Contra Costa County,not eligible
6013310000,3100.0,2015,mod,Contra Costa County,eligible
6013311000,3110.0,2015,mod,Contra Costa County,eligible
6013312000,3120.0,2015,low,Contra Costa County,eligible
6013313101,3131.01,2015,mod,Contra Costa County,eligible
6013313102,3131.02,2015,mid,Contra Costa County,not eligible
6013313103,3131.03,2015,mid,Contra Costa County,not eligible
