geo_fips,Typology,old disp type
6087110300,LI - At Risk of Gentrification and/or Displacement,
6113010302,MHI - At Risk of Exclusion,
6113010701,LI - Not Losing Low Income Households,
6077003407,LI - Ongoing Gentrification and/or Displacement,
6067005803,MHI - Advanced Exclusion,
6077003111,LI - Not Losing Low Income Households,
6113010704,LI - Not Losing Low Income Households,
6067009635,MHI - Not Losing Low Income Households,
6087122300,MHI - Not Losing Low Income Households,
6067009112,MHI - Not Losing Low Income Households,
6067008204,MHI - At Risk of Exclusion,
6077003113,LI - Ongoing Gentrification and/or Displacement,
6067008125,LI - Not Losing Low Income Households,
6077002701,LI - Ongoing Gentrification and/or Displacement,
6067007903,MHI - At Risk of Exclusion,
6067007422,LI - Not Losing Low Income Households,
6067004203,LI - At Risk of Gentrification and/or Displacement,
6067005901,MHI - At Risk of Exclusion,
6067009504,LI - At Risk of Gentrification and/or Displacement,
6077003409,LI - Not Losing Low Income Households,
6067008007,LI - Not Losing Low Income Households,
6077004102,MHI - At Risk of Exclusion,
6067002400,MHI - At Risk of Exclusion,
6067000200,MHI - Ongoing Exclusion,
6077003602,MHI - At Risk of Exclusion,
6067005204,MHI - At Risk of Exclusion,
6067007207,MHI - At Risk of Exclusion,
6075980401,Data Unavailable or Unreliable,
6097151000,MHI - At Risk of Exclusion,5
6077004600,MHI - At Risk of Exclusion,
6077000300,LI - At Risk of Gentrification and/or Displacement,
6067008206,MHI - Ongoing Exclusion,
6067005904,LI - Not Losing Low Income Households,
6067000100,MHI - At Risk of Exclusion,
6077005403,MHI - Not Losing Low Income Households,
6077004902,MHI - At Risk of Exclusion,
6067005301,LI - Ongoing Gentrification and/or Displacement,
6067004005,MHI - Not Losing Low Income Households,
6067009614,MHI - Not Losing Low Income Households,
6067009106,LI - Not Losing Low Income Households,
6097150500,MHI - At Risk of Exclusion,5
6067002900,LI - Ongoing Gentrification and/or Displacement,
6067009616,MHI - Not Losing Low Income Households,
6067007602,LI - At Risk of Gentrification and/or Displacement,
6067008910,LI - Ongoing Gentrification and/or Displacement,
6087120600,MHI - At Risk of Exclusion,
6067009319,MHI - Not Losing Low Income Households,
6077003700,LI - Not Losing Low Income Households,
6067009630,MHI - Not Losing Low Income Households,
6067003900,MHI - At Risk of Exclusion,
6041131100,MHI - Ongoing Exclusion,5
6067008203,MHI - At Risk of Exclusion,
6077003208,MHI - Not Losing Low Income Households,
6067004004,MHI - Not Losing Low Income Households,
6077002503,Data Unavailable or Unreliable,
6067005404,MHI - At Risk of Exclusion,
6067009005,LI - Not Losing Low Income Households,
6067009612,MHI - Not Losing Low Income Households,
6077005124,MHI - Not Losing Low Income Households,
6077003601,MHI - Ongoing Exclusion,
6067009328,Data Unavailable or Unreliable,
6067008128,LI - Not Losing Low Income Households,
6055201401,MHI - At Risk of Exclusion,5
6067008210,MHI - Not Losing Low Income Households,
6067001101,LI - Ongoing Gentrification and/or Displacement,
6067004802,LI - Not Losing Low Income Households,
6097150303,LI - Not Losing Low Income Households,1
6077000401,LI - Ongoing Gentrification and/or Displacement,
6077004202,MHI - Not Losing Low Income Households,
6067009107,MHI - At Risk of Exclusion,
6067002300,MHI - Ongoing Exclusion,
6067008908,LI - At Risk of Gentrification and/or Displacement,
6067001300,LI - Ongoing Gentrification and/or Displacement,
6097154304,LI - Not Losing Low Income Households,1
6067001800,LI - Ongoing Gentrification and/or Displacement,
6067001900,LI - Ongoing Gentrification and/or Displacement,
6067003202,LI - Ongoing Gentrification and/or Displacement,
6067002100,LI - Ongoing Gentrification and/or Displacement,
6077004002,MHI - Not Losing Low Income Households,
6067009601,LI - Not Losing Low Income Households,
6067004012,MHI - Advanced Exclusion,
6067000600,LI - Ongoing Gentrification and/or Displacement,
6067003800,LI - Ongoing Gentrification and/or Displacement,
6067005102,LI - At Risk of Gentrification and/or Displacement,
6067009636,MHI - Not Losing Low Income Households,
6077003311,LI - Not Losing Low Income Households,
6067004001,MHI - Advanced Gentrification,
6067008907,LI - At Risk of Gentrification and/or Displacement,
6067008120,LI - Not Losing Low Income Households,
6077005206,MHI - Advanced Exclusion,
6077001300,LI - Ongoing Gentrification and/or Displacement,
6067007014,MHI - Not Losing Low Income Households,
6067004602,LI - Not Losing Low Income Households,
6067009608,LI - Not Losing Low Income Households,
6067005804,MHI - Not Losing Low Income Households,
6067004903,LI - At Risk of Gentrification and/or Displacement,
6077003216,MHI - Advanced Gentrification,
6067007431,MHI - At Risk of Exclusion,
6067005205,LI - Not Losing Low Income Households,
6067008513,MHI - Not Losing Low Income Households,
6077004104,MHI - Not Losing Low Income Households,
6067005403,MHI - At Risk of Exclusion,
6067005505,LI - At Risk of Gentrification and/or Displacement,
6067005702,MHI - At Risk of Exclusion,
6077005210,MHI - Not Losing Low Income Households,
6067002000,LI - Ongoing Gentrification and/or Displacement,
6067007428,MHI - At Risk of Exclusion,
