,Id2,Percent of population 25 years and over with Bachelor's degree,All families - Percent  below poverty level; Estimate; Families,% Single Family,% Owner Occupied,Percent White alone,Percent Black or African African alone,Percent Asian alone,Percent Hispanic,Estimate; Total Number of Housing Units,Estimate; Median value (dollars),Median income (dollars); All households,CRA Eligible_x,County,type,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Total Loans,CRA
0,6001400100,34.5,3.1,0.9124391938846421,0.8952599388379205,0.7691504178272981,0.041434540389972144,0.1107242339832869,0.007311977715877437,1439,1000000.0,186439.0,not eligible,Alameda County,high,0.0,0.0,0.9818181818181818,54.0,0.0,0.0,0.01818181818181818,1.0,54.0,0
1,6001400300,32.1,6.9,0.4787575865762228,0.4051789794364052,0.7141418211120064,0.0991136180499597,0.07554391619661563,0.08521353746978243,2801,718100.0,66638.0,not eligible,Alameda County,mid,0.0,0.0,0.90625,58.0,0.0,0.0,0.09375,6.0,58.0,0
2,6001400400,44.0,4.0,0.5554455445544555,0.43380855397148677,0.6980819322756334,0.09258820743547241,0.07814349988160076,0.06298839687426,2020,790500.0,80391.0,not eligible,Alameda County,mid,0.0,0.0,0.9791666666666666,47.0,0.0,0.0,0.02083333333333333,1.0,47.0,0
3,6001400500,28.1,6.0,0.4443804034582133,0.4377224199288256,0.41952646980579944,0.346634743282788,0.06624102154828412,0.11598829475924448,1735,572000.0,50658.0,eligible,Alameda County,mod,0.8771929824561403,50.0,0.0,0.0,0.12280701754385966,7.0,0.0,0.0,57.0,1
4,6001400600,51.9,26.4,0.6326530612244898,0.47075606276747506,0.3383054892601432,0.47315035799522676,0.032219570405727926,0.059665871121718374,784,586700.0,39802.0,eligible,Alameda County,mod,0.8709677419354839,27.0,0.0,0.0,0.12903225806451613,4.0,0.0,0.0,31.0,1
5,6001400700,19.4,8.1,0.5724206349206349,0.3953349282296651,0.35683158164573187,0.4539861573955396,0.09510381953345295,0.04921814919251474,2016,511600.0,32471.0,eligible,Alameda County,mod,0.7142857142857143,85.0,0.0,0.0,0.2857142857142857,34.0,0.0,0.0,119.0,1
6,6001400800,33.5,21.7,0.4231227651966627,0.29797627355198886,0.32678868552412643,0.37870216306156407,0.17470881863560733,0.08618968386023294,1678,499100.0,37750.0,eligible,Alameda County,mod,0.7450980392156863,38.0,0.0,0.0,0.2549019607843137,13.0,0.0,0.0,51.0,1
7,6001400900,28.2,4.0,0.49248747913188645,0.4383561643835616,0.37645294338207724,0.5451818522684665,0.0074990626171728535,0.0412448443944507,1198,524600.0,51767.0,eligible,Alameda County,mod,0.6607142857142857,37.0,0.0,0.0,0.3392857142857143,19.0,0.0,0.0,56.0,1
8,6001401000,19.0,31.7,0.4664429530201342,0.42343173431734316,0.16677503250975292,0.5663198959687906,0.14320546163849154,0.0711963589076723,2682,415600.0,36875.0,eligible,Alameda County,low,0.7123287671232876,104.0,0.0,0.0,0.2876712328767123,42.0,0.0,0.0,146.0,1
9,6001401100,38.8,25.2,0.19913232104121475,0.19123314065510597,0.5226696705153477,0.14024218529991553,0.1103914390312588,0.17319065052098,2305,553600.0,39495.0,eligible,Alameda County,mod,0.6885245901639344,42.0,0.0,0.0,0.3114754098360656,19.0,0.0,0.0,61.0,1
10,6001401200,36.7,7.1,0.5388967468175389,0.46745562130177515,0.6727634194831014,0.13876739562624255,0.11610337972166998,0.0584493041749503,1414,589200.0,55592.0,not eligible,Alameda County,mid,0.0,0.0,0.8936170212765957,42.0,0.0,0.0,0.10638297872340426,5.0,42.0,0
11,6001401300,24.7,35.7,0.013445378151260505,0.1387726638772664,0.22239216885897828,0.4187825022942796,0.16579993881921076,0.1673294585500153,1785,367800.0,25833.0,eligible,Alameda County,low,0.5161290322580645,16.0,0.0,0.0,0.4838709677419355,15.0,0.0,0.0,31.0,1
12,6001401500,14.3,16.8,0.5315533980582524,0.4016649323621228,0.09827517047733654,0.6365824308062575,0.10068190934616927,0.10709987966305656,1236,365600.0,27188.0,eligible,Alameda County,low,0.4651162790697674,20.0,0.0,0.0,0.5348837209302325,23.0,0.0,0.0,43.0,1
13,6001401700,17.1,32.7,0.50125,0.5871271585557299,0.1328,0.3184,0.06986666666666666,0.42506666666666665,800,436400.0,52853.0,eligible,Alameda County,low,0.6483516483516484,118.0,0.0,0.0,0.3516483516483517,64.0,0.0,0.0,182.0,1
14,6001401800,11.2,48.9,0.37254901960784315,0.2053941908713693,0.11304347826086956,0.6521739130434783,0.07905138339920949,0.14466403162055336,816,423700.0,25043.0,eligible,Alameda County,low,0.5666666666666667,17.0,0.0,0.0,0.43333333333333335,13.0,0.0,0.0,30.0,1
15,6001401900,25.1,6.0,0.40625,0.3203125,0.1696165191740413,0.028023598820058997,0.10914454277286136,0.5412979351032449,256,355000.0,48750.0,not eligible,Alameda County,mid,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,2.0,1.0,0
16,6001402000,0.0,100.0,0.3225806451612903,0.3225806451612903,0.0,0.2413793103448276,0.0,0.7586206896551724,31,,6845.0,not eligible,Alameda County,mid,0.0,0.0,0.7142857142857143,15.0,0.0,0.0,0.2857142857142857,6.0,15.0,0
17,6001402100,6.3,41.0,0.3964562569213732,0.043640897755610975,0.10092240911557243,0.5686380900705371,0.20075963103635378,0.10960390667390124,903,506900.0,20574.0,eligible,Alameda County,low,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
18,6001402200,22.9,37.1,0.3870558375634518,0.2366412213740458,0.1683053788316946,0.3938692886061307,0.06246385193753615,0.31289762868710236,788,510800.0,28355.0,eligible,Alameda County,low,0.7142857142857143,15.0,0.0,0.0,0.2857142857142857,6.0,0.0,0.0,21.0,1
19,6001402500,9.6,30.0,0.16868932038834952,0.17280813214739518,0.08246445497630332,0.7696682464454976,0.09336492890995261,0.04123222748815166,824,327200.0,32847.0,eligible,Alameda County,low,0.4444444444444444,4.0,0.0,0.0,0.5555555555555556,5.0,0.0,0.0,9.0,1
20,6001402600,40.1,15.3,0.08842443729903537,0.29444444444444445,0.15768854064642507,0.25857002938295787,0.5298726738491675,0.05386875612144956,622,437900.0,28021.0,eligible,Alameda County,low,0.7272727272727273,8.0,0.0,0.0,0.2727272727272727,3.0,0.0,0.0,11.0,1
21,6001402900,26.3,25.8,0.0,0.019659239842726082,0.1521951219512195,0.2780487804878049,0.5082926829268293,0.045853658536585365,902,,20347.0,eligible,Alameda County,low,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
22,6001403000,15.4,18.7,0.03279742765273312,0.24277456647398843,0.0282671036460467,0.015157722244981565,0.9192953707496927,0.02867677181482999,1555,374100.0,17365.0,eligible,Alameda County,low,0.7692307692307693,40.0,0.0,0.0,0.2307692307692308,12.0,0.0,0.0,52.0,1
23,6001403100,15.3,41.0,0.02022058823529412,0.408,0.16350496838301717,0.25925925925925924,0.46160794941282746,0.04245709123757904,544,447500.0,22452.0,eligible,Alameda County,low,0.640625,41.0,0.0,0.0,0.359375,23.0,0.0,0.0,64.0,1
24,6001403200,0.0,0.0,0.725,1.0,1.0,0.0,0.0,0.0,40,495200.0,107727.0,not eligible,Alameda County,high,0.0,0.0,0.8857142857142857,31.0,0.0,0.0,0.11428571428571427,4.0,31.0,0
25,6001403300,25.7,16.3,0.08194566170026293,0.2231404958677686,0.2616777883698761,0.05457578646329838,0.6241658722592945,0.041468064823641564,2282,437500.0,51500.0,eligible,Alameda County,low,0.7321428571428571,41.0,0.0,0.0,0.26785714285714285,15.0,0.0,0.0,56.0,1
26,6001403400,26.1,1.5,0.015111695137976347,0.1462837837837838,0.3468516542155816,0.22625400213447172,0.31632870864461043,0.07705442902881537,3044,474800.0,46463.0,eligible,Alameda County,mod,0.8360655737704918,51.0,0.0,0.0,0.16393442622950818,10.0,0.0,0.0,61.0,1
27,6001403500,32.4,19.4,0.1083136637817991,0.18655036578503095,0.3945954745238483,0.2454826631938792,0.196646589614195,0.05664984535243366,3813,419000.0,40357.0,eligible,Alameda County,low,0.6146788990825688,67.0,0.0,0.0,0.3853211009174312,42.0,0.0,0.0,109.0,1
28,6001403600,36.0,1.8,0.08250599109893872,0.18678479143595422,0.28192437141160165,0.4468422094634726,0.12116412591566027,0.050089091269055634,2921,390800.0,53427.0,not eligible,Alameda County,mid,0.0,0.0,0.6136363636363636,27.0,0.0,0.0,0.3863636363636364,17.0,27.0,0
29,6001403700,41.3,5.2,0.009898190045248868,0.17135382603008503,0.547019053472649,0.22249539028887522,0.10878918254456055,0.0444581028477771,3536,427600.0,60368.0,not eligible,Alameda County,mid,0.0,0.0,0.6734693877551021,33.0,0.0,0.0,0.32653061224489793,16.0,33.0,0
30,6001403800,41.4,0.0,0.30729653882132835,0.33550325488232347,0.5833539145468016,0.07779698691034824,0.12002963694739442,0.17090639664114596,2138,729300.0,74721.0,not eligible,Alameda County,mid,0.0,0.0,0.8666666666666667,39.0,0.0,0.0,0.13333333333333333,6.0,39.0,0
31,6001403900,29.9,5.7,0.19514137793707687,0.4140786749482402,0.6071702944942382,0.21792573623559539,0.06555697823303457,0.05710627400768246,2511,464100.0,76383.0,eligible,Alameda County,mod,0.6341463414634146,52.0,0.0,0.0,0.36585365853658536,30.0,0.0,0.0,82.0,1
32,6001404000,33.0,3.3,0.11822916666666666,0.23072594259988746,0.6059490953695186,0.17877951548604723,0.12051517939282429,0.052744556884391294,1920,377200.0,60616.0,eligible,Alameda County,mod,0.6363636363636364,28.0,0.0,0.0,0.3636363636363637,16.0,0.0,0.0,44.0,1
33,6001404100,45.4,3.9,0.2316399052382206,0.24666666666666667,0.6896918172157279,0.04764434998228834,0.14505844845908608,0.07917109458023379,3799,692000.0,55755.0,not eligible,Alameda County,mid,0.0,0.0,0.8271604938271605,67.0,0.0,0.0,0.1728395061728395,14.0,67.0,0
34,6001404800,27.9,0.0,0.5117104329311568,0.5397398843930635,0.3635097493036212,0.30118384401114207,0.19115598885793872,0.13440111420612813,1409,675600.0,67266.0,not eligible,Alameda County,mid,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,30.0,0
35,6001404900,29.9,1.4,0.7702834799608993,0.6269482151835093,0.5708249944407383,0.061374249499666446,0.21125194574160552,0.09584167222592839,2046,603100.0,69741.0,not eligible,Alameda County,mid,0.0,0.0,0.9166666666666666,55.0,0.0,0.0,0.08333333333333333,5.0,55.0,0
36,6001405000,35.6,1.3,0.5913294797687861,0.5832784726793944,0.6930661577608143,0.14408396946564886,0.09987277353689568,0.03594147582697201,1730,764100.0,87962.0,not eligible,Alameda County,high,0.0,0.0,0.9420289855072465,65.0,0.0,0.0,0.05797101449275361,4.0,65.0,0
