Place Name,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,FIPS state,Period
Alameda city,0.19705625244583103,7.451219512195122,0.6629304894162277,40.926829268292686,0.046846186578559226,1.3780487804878048,0.0931670715593819,5.451219512195122,6.0,1.0,6.0,slump 2008-2012
Alamo CDP,0.0,0.0,0.9657971253593124,100.35135135135135,0.0,0.0,0.0342028746406876,3.4594594594594597,6.0,13.0,6.0,slump 2008-2012
Albany city,0.07407407407407407,0.18518518518518517,0.8370927870043511,32.7037037037037,0.0,0.0,0.08883313892157452,4.0,6.0,1.0,6.0,slump 2008-2012
Alum Rock CDP,0.3793237513028821,42.93103448275862,0.14868126754892527,17.448275862068964,0.3448141797316005,37.48275862068966,0.127180801416592,14.931034482758621,6.0,85.0,6.0,slump 2008-2012
American Canyon city,0.4322081856932859,168.875,0.3304644170097074,89.0,0.06779181430671413,25.75,0.16953558299029256,47.875,6.0,55.0,6.0,slump 2008-2012
Angwin CDP,0.0,0.0,0.9533623358523817,44.8,0.0,0.0,0.04663766414761835,2.4,6.0,55.0,6.0,slump 2008-2012
Antioch city,0.1388909217140872,14.9625,0.34442670618483306,166.45,0.2111090782859128,21.125,0.30557329381516696,100.8,6.0,13.0,6.0,slump 2008-2012
Ashland CDP,0.3291512037626468,29.133333333333333,0.15633762512591584,13.033333333333333,0.3708487962373531,31.133333333333333,0.14366237487408415,11.533333333333333,6.0,1.0,6.0,slump 2008-2012
Atherton town,0.0,0.0,0.9798154658053004,57.0,0.0,0.0,0.0201845341946996,1.4666666666666666,6.0,81.0,6.0,slump 2008-2012
Bay Point CDP,0.131144629107617,15.5,0.2950914061017666,74.6842105263158,0.2899080024713304,30.42105263157895,0.283855962319286,58.026315789473685,6.0,13.0,6.0,slump 2008-2012
Bayview-Montalvin CDP,0.0,0.0,0.48804504319861614,52.44444444444444,0.0,0.0,0.5119549568013838,52.333333333333336,6.0,13.0,6.0,slump 2008-2012
Belmont city,0.0,0.0,0.945909461407058,66.5,0.0,0.0,0.05409053859294195,3.3,6.0,81.0,6.0,slump 2008-2012
Belvedere city,0.0,0.0,0.9703464611728432,81.07142857142857,0.0,0.0,0.0296535388271568,3.2857142857142856,6.0,41.0,6.0,slump 2008-2012
Benicia city,0.0,0.0,0.799821629384827,82.81818181818181,0.0,0.0,0.200178370615173,20.977272727272727,6.0,95.0,6.0,slump 2008-2012
Berkeley city,0.3706936947877402,10.167701863354038,0.5307399763656168,17.559006211180126,0.05152852743448198,1.9565217391304348,0.047037801412160914,1.5403726708074534,6.0,1.0,6.0,slump 2008-2012
Bethel Island CDP,0.5735103429537932,79.4,0.13955555555555557,31.4,0.2264896570462068,28.8,0.060444444444444446,13.6,6.0,13.0,6.0,slump 2008-2012
Black Point-Green Point CDP,0.0,0.0,0.9009497066693563,45.2,0.0,0.0,0.09905029333064377,5.8,6.0,41.0,6.0,slump 2008-2012
Blackhawk-Camino Tassajara CDP,0.0,0.0,0.9736462105092145,913.375,0.0,0.0,0.02635378949078559,20.875,6.0,13.0,6.0,slump 2008-2012
Bodega Bay CDP,0.0,0.0,0.9396072703049521,86.0,0.0,0.0,0.06039272969504782,5.555555555555555,6.0,97.0,6.0,slump 2008-2012
Bolinas CDP,0.18333333333333332,6.6,0.731103251792907,21.6,0.016666666666666666,0.6,0.06889674820709304,2.0,6.0,41.0,6.0,slump 2008-2012
Boyes Hot Springs CDP,0.40910072698047384,48.0,0.32490356124038666,34.44444444444444,0.14645482857508174,17.0,0.11954088320405784,12.666666666666666,6.0,97.0,6.0,slump 2008-2012
Brentwood city,0.23690550198878912,193.66666666666666,0.511913661954731,583.0,0.0964278313445442,74.58333333333333,0.15475300471193573,183.58333333333334,6.0,13.0,6.0,slump 2008-2012
Brisbane city,0.14445181050332673,5.6,0.5401120149718028,37.4,0.15554818949667326,5.85,0.1598879850281971,9.95,6.0,81.0,6.0,slump 2008-2012
Broadmoor CDP,0.0,0.0,0.734386258902388,55.0,0.0,0.0,0.26561374109761204,19.6,6.0,81.0,6.0,slump 2008-2012
Buena Vista CDP,0.6436366856285569,39.8,0.0,0.0,0.3563633143714431,20.8,0.0,0.0,6.0,85.0,6.0,slump 2008-2012
Burbank CDP,0.5615033344637976,40.15,0.22459553903342933,30.8,0.1884966655362025,12.95,0.025404460966570654,3.65,6.0,85.0,6.0,slump 2008-2012
Burlingame city,0.0,0.0,0.9269427764580921,64.4888888888889,0.0,0.0,0.073057223541908,5.133333333333334,6.0,81.0,6.0,slump 2008-2012
Byron CDP,0.0,0.0,0.8075517444051028,693.5,0.0,0.0,0.19244825559489723,163.75,6.0,13.0,6.0,slump 2008-2012
