Place Name,County,CRA Eligibility,Total loans 2013-2017,LM loans 2013-2017,MH loans 2013-2017,LMI tracts,pct loans to MH borrowers in LM tracts
"Alameda city, CA",Alameda CA,1,39,1,38,21,0.974358974
"Albany city, CA",Alameda CA,1,1,0,1,1,1
"Ashland CDP, CA",Alameda CA,1,34,4,30,16,0.882352941
"Berkeley city, CA",Alameda CA,1,21,2,19,56,0.904761905
"Castro Valley CDP, CA",Alameda CA,1,140,9,131,17,0.935714286
"Cherryland CDP, CA",Alameda CA,1,32,12,20,21,0.625
"Emeryville city, CA",Alameda CA,1,55,13,42,5,0.763636364
"Fairview CDP, CA",Alameda CA,1,82,18,64,5,0.780487805
"Fremont city, CA",Alameda CA,1,16,0,16,15,1
"Hayward city, CA",Alameda CA,1,128,18,110,104,0.859375
"Livermore city, CA",Alameda CA,1,147,37,110,5,0.74829932
"Newark city, CA",Alameda CA,1,661,7,654,5,0.989409985
"Oakland city, CA",Alameda CA,1,41,6,35,387,0.853658537
"San Leandro city, CA",Alameda CA,1,83,39,44,58,0.530120482
"San Lorenzo CDP, CA",Alameda CA,1,87,8,79,6,0.908045977
"Union City city, CA",Alameda CA,1,55,20,35,18,0.636363636
"Antioch city, CA",Contra Costa CA,1,106,57,49,52,0.462264151
"Bay Point CDP, CA",Contra Costa CA,1,44,12,32,21,0.727272727
"Bayview CDP, CA",Contra Costa CA,1,76,11,65,1,0.855263158
"Bethel Island CDP, CA",Contra Costa CA,1,156,41,115,1,0.737179487
"Brentwood city, CA",Contra Costa CA,1,118,20,98,1,0.830508475
"Byron CDP, CA",Contra Costa CA,1,14,5,9,5,0.642857143
"Concord city, CA",Contra Costa CA,1,165,77,88,45,0.533333333
"Crockett CDP, CA",Contra Costa CA,1,115,34,81,5,0.704347826
"Discovery Bay CDP, CA",Contra Costa CA,1,126,12,114,1,0.904761905
"East Richmond Heights CDP, CA",Contra Costa CA,1,91,17,74,2,0.813186813
"El Cerrito city, CA",Contra Costa CA,1,34,7,27,10,0.794117647
"El Sobrante CDP, CA",Contra Costa CA,1,91,17,74,7,0.813186813
"Hercules city, CA",Contra Costa CA,1,115,34,81,5,0.704347826
"Knightsen CDP, CA",Contra Costa CA,1,156,41,115,1,0.737179487
"Lafayette city, CA",Contra Costa CA,1,85,14,71,6,0.835294118
"Martinez city, CA",Contra Costa CA,1,8,0,8,20,1
"Mountain View CDP, CA",Contra Costa CA,1,218,19,199,9,0.912844037
"North Richmond CDP, CA",Contra Costa CA,1,37,20,17,5,0.459459459
"Oakley city, CA",Contra Costa CA,1,108,40,68,8,0.62962963
"Pacheco CDP, CA",Contra Costa CA,1,165,77,88,6,0.533333333
"Pinole city, CA",Contra Costa CA,1,76,11,65,3,0.855263158
"Pittsburg city, CA",Contra Costa CA,1,106,57,49,48,0.462264151
"Pleasant Hill city, CA",Contra Costa CA,1,165,77,88,6,0.533333333
"Richmond city, CA",Contra Costa CA,1,91,17,74,84,0.813186813
"Rodeo CDP, CA",Contra Costa CA,1,115,34,81,5,0.704347826
"Rollingwood CDP, CA",Contra Costa CA,1,65,16,49,6,0.753846154
"San Pablo city, CA",Contra Costa CA,1,53,9,44,36,0.830188679
"Saranap CDP, CA",Contra Costa CA,1,81,21,60,5,0.740740741
"Tara Hills CDP, CA",Contra Costa CA,1,76,11,65,1,0.855263158
"Vine Hill CDP, CA",Contra Costa CA,1,62,8,54,5,0.870967742
"Walnut Creek city, CA",Contra Costa CA,1,85,14,71,10,0.835294118
"Black Point-Green Point CDP, CA",Marin CA,1,49,5,44,4,0.897959184
"Bolinas CDP, CA",Marin CA,1,25,2,23,4,0.92
"Dillon Beach CDP, CA",Marin CA,1,38,0,38,1,1
"Inverness CDP, CA",Marin CA,1,14,0,14,5,1
"Kentfield CDP, CA",Marin CA,1,42,6,36,4,0.857142857
"Larkspur city, CA",Marin CA,1,42,6,36,4,0.857142857
"Marin City CDP, CA",Marin CA,1,8,4,4,5,0.5
"Nicasio CDP, CA",Marin CA,1,38,0,38,1,1
"Novato city, CA",Marin CA,1,49,5,44,20,0.897959184
"Point Reyes Station CDP, CA",Marin CA,1,38,0,38,6,1
"San Anselmo town, CA",Marin CA,1,46,7,39,4,0.847826087
"San Rafael city, CA",Marin CA,1,73,32,41,19,0.561643836
"Santa Venetia CDP, CA",Marin CA,1,103,22,81,4,0.786407767
"Stinson Beach CDP, CA",Marin CA,1,25,2,23,4,0.92
"Tomales CDP, CA",Marin CA,1,38,0,38,1,1
"Calistoga city, CA",Napa CA,1,73,12,61,4,0.835616438
"Napa city, CA",Napa CA,1,62,8,54,39,0.870967742
"St. Helena city, CA",Napa CA,1,28,3,25,5,0.892857143
"San Francisco city, CA",San Francisco CA,1,24,3,21,359,0.875
"Colma town, CA",San Mateo CA,1,93,3,90,6,0.967741935
"Daly City city, CA",San Mateo CA,1,93,3,90,27,0.967741935
"East Palo Alto city, CA",San Mateo CA,1,40,6,34,20,0.85
"Menlo Park city, CA",San Mateo CA,1,40,6,34,15,0.85
"North Fair Oaks CDP, CA",San Mateo CA,1,28,3,25,11,0.892857143
"Pacifica city, CA",San Mateo CA,1,62,7,55,1,0.887096774
"Redwood City city, CA",San Mateo CA,1,28,3,25,42,0.892857143
"San Bruno city, CA",San Mateo CA,1,62,23,39,14,0.629032258
"San Mateo city, CA",San Mateo CA,1,96,7,89,14,0.927083333
"South San Francisco city, CA",San Mateo CA,1,55,7,48,14,0.872727273
"Alum Rock CDP, CA",Santa Clara CA,1,93,29,64,35,0.688172043
"Burbank CDP, CA",Santa Clara CA,1,74,13,61,15,0.824324324
"Campbell city, CA",Santa Clara CA,1,42,13,29,17,0.69047619
"Cupertino city, CA",Santa Clara CA,1,65,2,63,4,0.969230769
"East Foothills CDP, CA",Santa Clara CA,1,93,29,64,20,0.688172043
"Fruitdale CDP, CA",Santa Clara CA,1,74,13,61,5,0.824324324
"Gilroy city, CA",Santa Clara CA,1,106,19,87,30,0.820754717
"Los Altos city, CA",Santa Clara CA,1,34,5,29,5,0.852941176
"Milpitas city, CA",Santa Clara CA,1,33,6,27,21,0.818181818
"Morgan Hill city, CA",Santa Clara CA,1,129,12,117,11,0.906976744
"Mountain View city, CA",Santa Clara CA,1,34,5,29,28,0.852941176
"Palo Alto city, CA",Santa Clara CA,1,33,7,26,13,0.787878788
"San Jose city, CA",Santa Clara CA,1,93,29,64,474,0.688172043
"San Martin CDP, CA",Santa Clara CA,1,129,12,117,5,0.906976744
"Santa Clara city, CA",Santa Clara CA,1,65,17,48,17,0.738461538
"Stanford CDP, CA",Santa Clara CA,1,1,0,1,4,1
"Sunnyvale city, CA",Santa Clara CA,1,65,2,63,24,0.969230769
unincorporated non CDP,Santa Clara CA,1,59,23,36,348,0.610169492
"Fairfield city, CA",Solano CA,1,125,56,69,57,0.552
"Suisun City city, CA",Solano CA,1,83,37,46,17,0.554216867
"Vacaville city, CA",Solano CA,1,133,14,119,15,0.894736842
"Vallejo city, CA",Solano CA,1,112,16,96,65,0.857142857
"Boyes Hot Springs CDP, CA",Sonoma CA,1,85,6,79,9,0.929411765
"Cazadero CDP, CA",Sonoma CA,1,121,15,106,5,0.876033058
"Cloverdale city, CA",Sonoma CA,1,51,22,29,5,0.568627451
"Cotati city, CA",Sonoma CA,1,76,17,59,10,0.776315789
"El Verano CDP, CA",Sonoma CA,1,85,6,79,4,0.929411765
"Fetters Hot Springs-Agua Caliente CDP, CA",Sonoma CA,1,77,15,62,5,0.805194805
"Forestville CDP, CA",Sonoma CA,1,85,11,74,1,0.870588235
"Guerneville CDP, CA",Sonoma CA,1,121,15,106,7,0.876033058
"Healdsburg city, CA",Sonoma CA,1,59,3,56,1,0.949152542
"Monte Rio CDP, CA",Sonoma CA,1,121,15,106,5,0.876033058
"Penngrove CDP, CA",Sonoma CA,1,76,17,59,5,0.776315789
"Petaluma city, CA",Sonoma CA,1,76,17,59,6,0.776315789
"Rohnert Park city, CA",Sonoma CA,1,76,17,59,11,0.776315789
"Roseland CDP, CA",Sonoma CA,1,48,10,38,16,0.791666667
"Santa Rosa city, CA",Sonoma CA,1,142,48,94,71,0.661971831
"Windsor town, CA",Sonoma CA,1,66,9,57,4,0.863636364
