Place Name,Total loans 2013-2017,LM loans 2013-2017,MH loans 2013-2017,LMI tracts,pct loans to MH borrowers in LM tracts
"Alameda city, CA",644,48,596,21,0.9254658385093167
"Albany city, CA",1,0,1,1,1.0
"Alum Rock CDP, CA",2017,428,1589,35,0.7878036688150719
"Antioch city, CA",5386,2546,2840,52,0.5272929818046788
"Ashland CDP, CA",849,223,626,16,0.7373380447585395
"Bay Point CDP, CA",1704,908,796,21,0.4671361502347418
"Bayview CDP, CA",76,11,65,1,0.8552631578947368
"Berkeley city, CA",1208,55,1153,56,0.9544701986754967
"Bethel Island CDP, CA",156,41,115,1,0.7371794871794872
"Black Point-Green Point CDP, CA",212,29,183,4,0.8632075471698113
"Bolinas CDP, CA",120,4,116,4,0.9666666666666667
"Boyes Hot Springs CDP, CA",635,84,551,9,0.8677165354330708
"Brentwood city, CA",118,20,98,1,0.8305084745762712
"Burbank CDP, CA",823,67,756,15,0.9185905224787363
"Byron CDP, CA",95,24,71,5,0.7473684210526316
"Calistoga city, CA",267,46,221,4,0.8277153558052435
"Campbell city, CA",977,85,892,17,0.9129989764585466
"Castro Valley CDP, CA",790,105,685,17,0.8670886075949367
"Cazadero CDP, CA",558,75,483,5,0.8655913978494624
"Cherryland CDP, CA",1915,268,1647,21,0.8600522193211488
"Cloverdale city, CA",273,85,188,5,0.6886446886446886
"Colma town, CA",317,51,266,6,0.8391167192429022
"Concord city, CA",3751,1206,2545,45,0.6784857371367635
"Cotati city, CA",870,242,628,10,0.7218390804597701
"Crockett CDP, CA",515,154,361,5,0.7009708737864078
"Cupertino city, CA",249,4,245,4,0.9839357429718876
"Daly City city, CA",826,134,692,27,0.837772397094431
"Dillon Beach CDP, CA",38,0,38,1,1.0
"Discovery Bay CDP, CA",126,12,114,1,0.9047619047619048
"East Foothills CDP, CA",1187,253,934,20,0.7868576242628476
"East Palo Alto city, CA",1168,158,1010,20,0.8647260273972602
"East Richmond Heights CDP, CA",145,20,125,2,0.8620689655172413
"El Cerrito city, CA",214,27,187,10,0.8738317757009346
"El Sobrante CDP, CA",488,110,378,7,0.7745901639344263
"El Verano CDP, CA",340,28,312,4,0.9176470588235294
"Emeryville city, CA",288,51,237,5,0.8229166666666666
"Fairfield city, CA",3551,1359,2192,57,0.6172909039707125
"Fairview CDP, CA",414,57,357,5,0.8623188405797102
"Fetters Hot Springs-Agua Caliente CDP, CA",295,56,239,5,0.8101694915254237
"Forestville CDP, CA",85,11,74,1,0.8705882352941177
"Fremont city, CA",1488,42,1446,15,0.9717741935483871
"Fruitdale CDP, CA",337,24,313,5,0.9287833827893175
"Gilroy city, CA",2868,471,2397,30,0.8357740585774058
"Guerneville CDP, CA",744,100,644,7,0.8655913978494624
"Hayward city, CA",6497,1216,5281,104,0.812836693858704
"Healdsburg city, CA",59,3,56,1,0.9491525423728814
"Hercules city, CA",515,154,361,5,0.7009708737864078
"Inverness CDP, CA",82,6,76,5,0.926829268292683
"Kentfield CDP, CA",181,31,150,4,0.8287292817679558
"Knightsen CDP, CA",156,41,115,1,0.7371794871794872
"Lafayette city, CA",468,109,359,6,0.7670940170940171
"Larkspur city, CA",181,31,150,4,0.8287292817679558
"Livermore city, CA",601,87,514,5,0.8552412645590682
"Los Altos city, CA",137,19,118,5,0.8613138686131386
"Marin City CDP, CA",83,21,62,5,0.7469879518072289
