,Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid,Total Loans,pct loans to MH borrowers in LMI tracts,Typology
0,3040.02,2015,Contra Costa County,mod,eligible,0.6428571428571429,9,0.0,0,0.35714285714285715,5,0.0,0,6013304002,14,0.6428571428571429,Data Unavailable or Unreliable
1,3050.0,2015,Contra Costa County,low,eligible,0.4622641509433962,49,0.0,0,0.5377358490566038,57,0.0,0,6013305000,106,0.46226415094339623,LI - Ongoing Gentrification and/or Displacement
2,3060.02,2015,Contra Costa County,mod,eligible,0.6296296296296297,68,0.0,0,0.3703703703703704,40,0.0,0,6013306002,108,0.6296296296296297,LI - Not Losing Low Income Households
3,3060.03,2015,Contra Costa County,mod,eligible,0.3863636363636364,51,0.0,0,0.6136363636363636,81,0.0,0,6013306003,132,0.38636363636363635,LI - At Risk of Gentrification and/or Displacement
4,3060.04,2015,Contra Costa County,mod,eligible,0.4935064935064935,38,0.0,0,0.5064935064935064,39,0.0,0,6013306004,77,0.4935064935064935,LI - Ongoing Gentrification and/or Displacement
5,3071.02,2015,Contra Costa County,mod,eligible,0.3557046979865772,53,0.0,0,0.6442953020134228,96,0.0,0,6013307102,149,0.35570469798657717,LI - At Risk of Gentrification and/or Displacement
6,3072.01,2015,Contra Costa County,low,eligible,0.40425531914893614,19,0.0,0,0.5957446808510638,28,0.0,0,6013307201,47,0.40425531914893614,LI - Not Losing Low Income Households
7,3072.02,2015,Contra Costa County,low,eligible,0.2452830188679245,13,0.0,0,0.7547169811320755,40,0.0,0,6013307202,53,0.24528301886792453,LI - Not Losing Low Income Households
8,3072.04,2015,Contra Costa County,mod,eligible,0.575,69,0.0,0,0.425,51,0.0,0,6013307204,120,0.575,LI - Not Losing Low Income Households
9,3072.05,2015,Contra Costa County,mod,eligible,0.492063492063492,62,0.0,0,0.5079365079365079,64,0.0,0,6013307205,126,0.49206349206349204,LI - Not Losing Low Income Households
10,3080.01,2015,Contra Costa County,mod,eligible,0.5225225225225225,116,0.0,0,0.4774774774774775,106,0.0,0,6013308001,222,0.5225225225225225,LI - Not Losing Low Income Households
11,3100.0,2015,Contra Costa County,mod,eligible,0.6179775280898876,55,0.0,0,0.3820224719101124,34,0.0,0,6013310000,89,0.6179775280898876,LI - At Risk of Gentrification and/or Displacement
12,3110.0,2015,Contra Costa County,mod,eligible,0.6290322580645161,39,0.0,0,0.3709677419354839,23,0.0,0,6013311000,62,0.6290322580645161,LI - At Risk of Gentrification and/or Displacement
13,3120.0,2015,Contra Costa County,low,eligible,0.4680851063829787,22,0.0,0,0.5319148936170213,25,0.0,0,6013312000,47,0.46808510638297873,Data Unavailable or Unreliable
14,3131.01,2015,Contra Costa County,mod,eligible,0.559322033898305,66,0.0,0,0.4406779661016949,52,0.0,0,6013313101,118,0.559322033898305,LI - At Risk of Gentrification and/or Displacement
15,3132.06,2015,Contra Costa County,mod,eligible,0.4430379746835443,35,0.0,0,0.5569620253164557,44,0.0,0,6013313206,79,0.4430379746835443,LI - Not Losing Low Income Households
16,3141.02,2015,Contra Costa County,mod,eligible,0.4731182795698925,44,0.0,0,0.5268817204301075,49,0.0,0,6013314102,93,0.4731182795698925,LI - Not Losing Low Income Households
