,City Name,"hispanic, LM","hispanic, MH","non hispanic white, LM","non hispanic white, MH","asian, LM","asian, MH","black, LM","black, MH","other, LM","other , MH","missing race/ethnicity, LM","missing race/ethnicity, MH"
0, ,0.03,0.063,0.062,0.377,0.027,0.207,0.0,0.0,0.009,0.031,0.033,0.162
1,"Acalanes Ridge CDP, CA",0.0,0.031,0.0,0.566,0.0,0.093,0.0,0.0,0.0,0.047,0.0,0.264
2,"Alameda city, CA",0.007,0.021,0.095,0.327,0.03,0.229,0.0,0.0,0.002,0.018,0.049,0.221
3,"Alamo CDP, CA",0.0,0.051,0.0,0.553,0.0,0.142,0.0,0.0,0.0,0.013,0.0,0.242
4,"Albany city, CA",0.0,0.016,0.0,0.323,0.0,0.354,0.0,0.0,0.0,0.021,0.0,0.286
5,"Alhambra Valley CDP, CA",0.0,0.064,0.0,0.528,0.0,0.133,0.0,0.0,0.0,0.059,0.0,0.217
6,"Allendale CDP, CA",0.0,0.116,0.0,0.481,0.0,0.126,0.0,0.0,0.0,0.099,0.0,0.177
7,"Alto CDP, CA",0.0,0.012,0.0,0.704,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.198
8,"Alum Rock CDP, CA",0.153,0.0,0.166,0.0,0.485,0.0,0.0,0.0,0.01,0.0,0.186,0.0
9,"American Canyon city, CA",0.0,0.231,0.0,0.231,0.0,0.244,0.0,0.0,0.0,0.072,0.0,0.223
10,"Angwin CDP, CA",0.0,0.033,0.0,0.689,0.0,0.082,0.0,0.0,0.0,0.016,0.0,0.18
11,"Antioch city, CA",0.118,0.103,0.103,0.156,0.053,0.11,0.0,0.0,0.05,0.087,0.099,0.121
12,"Ashland CDP, CA",0.191,0.0,0.127,0.0,0.387,0.0,0.0,0.0,0.044,0.0,0.25,0.0
13,"Atherton town, CA",0.0,0.0,0.0,0.321,0.0,0.259,0.0,0.0,0.0,0.0,0.0,0.42
14,"Bay Point CDP, CA",0.194,0.09,0.079,0.107,0.071,0.157,0.0,0.0,0.04,0.048,0.121,0.093
15,"Bayview CDP, CA",0.062,0.137,0.033,0.108,0.083,0.212,0.0,0.0,0.041,0.071,0.095,0.158
16,"Belmont city, CA",0.0,0.014,0.0,0.366,0.0,0.469,0.0,0.0,0.0,0.011,0.0,0.14
17,"Belvedere city, CA",0.0,0.028,0.0,0.626,0.0,0.073,0.0,0.0,0.0,0.008,0.0,0.264
18,"Benicia city, CA",0.0,0.096,0.0,0.541,0.0,0.093,0.0,0.0,0.0,0.065,0.0,0.205
19,"Berkeley city, CA",0.004,0.02,0.052,0.397,0.016,0.153,0.0,0.0,0.002,0.009,0.043,0.303
20,"Bethel Island CDP, CA",0.122,0.0,0.532,0.0,0.096,0.0,0.0,0.0,0.051,0.0,0.199,0.0
21,"Black Point-Green Point CDP, CA",0.0,0.107,0.0,0.607,0.0,0.036,0.0,0.0,0.0,0.009,0.0,0.241
22,"Blackhawk CDP, CA",0.0,0.027,0.0,0.442,0.0,0.296,0.0,0.0,0.0,0.014,0.0,0.221
23,"Bloomfield CDP, CA",0.0,0.014,0.0,0.685,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.288
24,"Bodega Bay CDP, CA",0.0,0.037,0.0,0.725,0.0,0.025,0.0,0.0,0.0,0.019,0.0,0.194
25,"Bodega CDP, CA",0.0,0.035,0.0,0.779,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.174
26,"Bolinas CDP, CA",0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
27,"Boyes Hot Springs CDP, CA",0.056,0.106,0.146,0.429,0.005,0.03,0.0,0.0,0.0,0.01,0.056,0.162
28,"Brentwood city, CA",0.009,0.11,0.026,0.431,0.005,0.136,0.0,0.0,0.005,0.075,0.01,0.193
29,"Brisbane city, CA",0.0,0.089,0.0,0.233,0.0,0.322,0.0,0.0,0.0,0.011,0.0,0.344
30,"Broadmoor CDP, CA",0.0,0.145,0.0,0.205,0.0,0.482,0.0,0.0,0.0,0.012,0.0,0.157
31,"Burbank CDP, CA",0.049,0.016,0.171,0.135,0.298,0.127,0.0,0.0,0.0,0.0,0.143,0.061
32,"Burlingame city, CA",0.0,0.027,0.0,0.343,0.0,0.438,0.0,0.0,0.0,0.0,0.0,0.192
33,"Byron CDP, CA",0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0
34,"Calistoga city, CA",0.0,0.052,0.0,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
35,"Cambrian Park CDP, CA",0.0,0.042,0.0,0.31,0.0,0.501,0.0,0.0,0.0,0.006,0.0,0.14
36,"Camino Tassajara CDP, CA",0.0,0.011,0.0,0.311,0.0,0.477,0.0,0.0,0.0,0.009,0.0,0.191
