Place Name,County,CRA Eligibility,Total loans 2013-2017,LM loans 2013-2017,MH loans 2013-2017,LMI tracts,pct loans to MH borrowers in LM tracts
"Alameda city, CA",Alameda CA,1,39,1,38,21,0.9743589743589743
"Albany city, CA",Alameda CA,1,1,0,1,1,1.0
"Alum Rock CDP, CA",Santa Clara CA,1,93,29,64,35,0.6881720430107527
"Antioch city, CA",Contra Costa CA,1,106,57,49,52,0.46226415094339623
"Ashland CDP, CA",Alameda CA,1,34,4,30,16,0.8823529411764706
"Bay Point CDP, CA",Contra Costa CA,1,44,12,32,21,0.7272727272727273
"Bayview CDP, CA",Contra Costa CA,1,76,11,65,1,0.8552631578947368
"Berkeley city, CA",Alameda CA,1,21,2,19,56,0.9047619047619048
"Bethel Island CDP, CA",Contra Costa CA,1,156,41,115,1,0.7371794871794872
"Black Point-Green Point CDP, CA",Marin CA,1,49,5,44,4,0.8979591836734694
"Bolinas CDP, CA",Marin CA,1,25,2,23,4,0.92
"Boyes Hot Springs CDP, CA",Sonoma CA,1,85,6,79,9,0.9294117647058824
"Brentwood city, CA",Contra Costa CA,1,118,20,98,1,0.8305084745762712
"Burbank CDP, CA",Santa Clara CA,1,74,13,61,15,0.8243243243243243
"Byron CDP, CA",Contra Costa CA,1,14,5,9,5,0.6428571428571429
"Calistoga city, CA",Napa CA,1,73,12,61,4,0.8356164383561644
"Campbell city, CA",Santa Clara CA,1,42,13,29,17,0.6904761904761905
"Castro Valley CDP, CA",Alameda CA,1,140,9,131,17,0.9357142857142857
"Cazadero CDP, CA",Sonoma CA,1,121,15,106,5,0.8760330578512396
"Cherryland CDP, CA",Alameda CA,1,32,12,20,21,0.625
"Cloverdale city, CA",Sonoma CA,1,51,22,29,5,0.5686274509803921
"Colma town, CA",San Mateo CA,1,93,3,90,6,0.967741935483871
"Concord city, CA",Contra Costa CA,1,165,77,88,45,0.5333333333333333
"Cotati city, CA",Sonoma CA,1,76,17,59,10,0.7763157894736842
"Crockett CDP, CA",Contra Costa CA,1,115,34,81,5,0.7043478260869566
"Cupertino city, CA",Santa Clara CA,1,65,2,63,4,0.9692307692307692
"Daly City city, CA",San Mateo CA,1,93,3,90,27,0.967741935483871
"Dillon Beach CDP, CA",Marin CA,1,38,0,38,1,1.0
"Discovery Bay CDP, CA",Contra Costa CA,1,126,12,114,1,0.9047619047619048
"East Foothills CDP, CA",Santa Clara CA,1,93,29,64,20,0.6881720430107527
"East Palo Alto city, CA",San Mateo CA,1,40,6,34,20,0.85
"East Richmond Heights CDP, CA",Contra Costa CA,1,91,17,74,2,0.8131868131868132
"El Cerrito city, CA",Contra Costa CA,1,34,7,27,10,0.7941176470588235
